 Time (decimal year), PREC (mm)
1991.821918,0
1991.822032,0
1991.822146,0
1991.82226,0
1991.822374,0
1991.822489,0
1991.822603,0
1991.822717,0
1991.822831,0
1991.822945,0
1991.823059,0
1991.823174,0
1991.823288,2.299999952
1991.823402,0
1991.823516,0
1991.82363,0
1991.823744,0
1991.823858,0
1991.823973,0
1991.824087,0
1991.824201,0
1991.824315,0
1991.824429,0
1991.824543,0
1991.824658,0
1991.824772,0
1991.824886,0
1991.825,0
1991.825114,0
1991.825228,0
1991.825342,0
1991.825457,0
1991.825571,0
1991.825685,0
1991.825799,0
1991.825913,0
1991.826027,0
1991.826142,0
1991.826256,0
1991.82637,0
1991.826484,0
1991.826598,0
1991.826712,0
1991.826826,0
1991.826941,0
1991.827055,0
1991.827169,0
1991.827283,0
1991.827397,0
1991.827511,0
1991.827626,0
1991.82774,0
1991.827854,0
1991.827968,0
1991.828082,0
1991.828196,0
1991.828311,0
1991.828425,0
1991.828539,0
1991.828653,0
1991.828767,0
1991.828881,0
1991.828995,0
1991.82911,0
1991.829224,0
1991.829338,0
1991.829452,0
1991.829566,0
1991.82968,0
1991.829795,0
1991.829909,0
1991.830023,0
1991.830137,0
1991.830251,0
1991.830365,0
1991.830479,0
1991.830594,0
1991.830708,0
1991.830822,0
1991.830936,0
1991.83105,0
1991.831164,0
1991.831279,0
1991.831393,0
1991.831507,2.299999952
1991.831621,0
1991.831735,0
1991.831849,0
1991.831963,0
1991.832078,0
1991.832192,0
1991.832306,0
1991.83242,0
1991.832534,0
1991.832648,0
1991.832763,0
1991.832877,0
1991.832991,0
1991.833105,0
1991.833219,0
1991.833333,0
1991.833447,0
1991.833562,0
1991.833676,0
1991.83379,0
1991.833904,0
1991.834018,0
1991.834132,0
1991.834247,2.5
1991.834361,0
1991.834475,0
1991.834589,0
1991.834703,0
1991.834817,0
1991.834932,0
1991.835046,0
1991.83516,0
1991.835274,0
1991.835388,0
1991.835502,0
1991.835616,0
1991.835731,0
1991.835845,0
1991.835959,0
1991.836073,0
1991.836187,0
1991.836301,0
1991.836416,0
1991.83653,0
1991.836644,0
1991.836758,0
1991.836872,0
1991.836986,1
1991.8371,0
1991.837215,0
1991.837329,0
1991.837443,0
1991.837557,0
1991.837671,0
1991.837785,0
1991.8379,0
1991.838014,0
1991.838128,0
1991.838242,0
1991.838356,0
1991.83847,0
1991.838584,0
1991.838699,0
1991.838813,0
1991.838927,0
1991.839041,0
1991.839155,0
1991.839269,0
1991.839384,0
1991.839498,0
1991.839612,0
1991.839726,0.800000012
1991.83984,0
1991.839954,0
1991.840068,0
1991.840183,0
1991.840297,0
1991.840411,0
1991.840525,0
1991.840639,0
1991.840753,0
1991.840868,0
1991.840982,0
1991.841096,0
1991.84121,0
1991.841324,0
1991.841438,0
1991.841553,0
1991.841667,0
1991.841781,0
1991.841895,0
1991.842009,0
1991.842123,0
1991.842237,0
1991.842352,0
1991.842466,0
1991.84258,0
1991.842694,0
1991.842808,0
1991.842922,0
1991.843037,0
1991.843151,0
1991.843265,0
1991.843379,0
1991.843493,0
1991.843607,0
1991.843721,0
1991.843836,0
1991.84395,0
1991.844064,0
1991.844178,0
1991.844292,0
1991.844406,0
1991.844521,0
1991.844635,0
1991.844749,0
1991.844863,0
1991.844977,0
1991.845091,0
1991.845205,0
1991.84532,0
1991.845434,0
1991.845548,0
1991.845662,0
1991.845776,0
1991.84589,0
1991.846005,0
1991.846119,0
1991.846233,0
1991.846347,0
1991.846461,0
1991.846575,0
1991.846689,0
1991.846804,0
1991.846918,0
1991.847032,0
1991.847146,0
1991.84726,0
1991.847374,0
1991.847489,0
1991.847603,0
1991.847717,0
1991.847831,0
1991.847945,0
1991.848059,0
1991.848174,0
1991.848288,0
1991.848402,0
1991.848516,0
1991.84863,0
1991.848744,0
1991.848858,0
1991.848973,0
1991.849087,0
1991.849201,0
1991.849315,0
1991.849429,0
1991.849543,0
1991.849658,0
1991.849772,0
1991.849886,0
1991.85,0
1991.850114,0
1991.850228,0
1991.850342,0
1991.850457,0
1991.850571,0
1991.850685,0
1991.850799,0
1991.850913,0
1991.851027,0
1991.851142,0
1991.851256,0
1991.85137,0
1991.851484,0
1991.851598,0
1991.851712,0
1991.851826,0
1991.851941,0
1991.852055,0
1991.852169,0
1991.852283,0
1991.852397,0
1991.852511,0
1991.852626,0
1991.85274,0
1991.852854,0
1991.852968,0
1991.853082,0
1991.853196,0
1991.853311,0
1991.853425,0
1991.853539,0
1991.853653,0
1991.853767,0
1991.853881,0
1991.853995,0
1991.85411,0
1991.854224,0
1991.854338,0
1991.854452,0
1991.854566,0
1991.85468,0
1991.854795,0
1991.854909,0
1991.855023,0
1991.855137,0
1991.855251,0
1991.855365,0
1991.855479,0
1991.855594,0
1991.855708,0
1991.855822,0
1991.855936,0
1991.85605,0
1991.856164,0
1991.856279,0
1991.856393,0
1991.856507,0
1991.856621,0
1991.856735,0
1991.856849,0
1991.856963,0
1991.857078,0
1991.857192,0
1991.857306,0
1991.85742,0
1991.857534,0
1991.857648,0
1991.857763,0
1991.857877,0
1991.857991,0
1991.858105,0
1991.858219,0
1991.858333,0
1991.858447,0
1991.858562,0
1991.858676,0
1991.85879,0
1991.858904,0
1991.859018,0
1991.859132,0
1991.859247,0
1991.859361,0
1991.859475,0
1991.859589,0
1991.859703,0
1991.859817,0
1991.859932,0
1991.860046,0
1991.86016,0
1991.860274,0
1991.860388,0
1991.860502,0
1991.860616,0
1991.860731,0
1991.860845,0
1991.860959,0
1991.861073,0
1991.861187,0
1991.861301,0
1991.861416,0
1991.86153,0
1991.861644,10.69999981
1991.861758,0
1991.861872,0
1991.861986,0
1991.8621,0
1991.862215,0
1991.862329,0
1991.862443,0
1991.862557,0
1991.862671,0
1991.862785,0
1991.8629,0
1991.863014,0
1991.863128,0
1991.863242,0
1991.863356,0
1991.86347,0
1991.863584,0
1991.863699,0
1991.863813,0
1991.863927,0
1991.864041,0
1991.864155,0
1991.864269,0
1991.864384,43.90000153
1991.864498,0
1991.864612,0
1991.864726,0
1991.86484,0
1991.864954,0
1991.865068,0
1991.865183,0
1991.865297,0
1991.865411,0
1991.865525,0
1991.865639,0
1991.865753,0
1991.865868,0
1991.865982,0
1991.866096,0
1991.86621,0
1991.866324,0
1991.866438,0
1991.866553,0
1991.866667,0
1991.866781,0
1991.866895,0
1991.867009,0
1991.867123,0.100000001
1991.867237,0
1991.867352,0
1991.867466,0
1991.86758,0
1991.867694,0
1991.867808,0
1991.867922,0
1991.868037,0
1991.868151,0
1991.868265,0
1991.868379,0
1991.868493,0
1991.868607,0
1991.868721,0
1991.868836,0
1991.86895,0
1991.869064,0
1991.869178,0
1991.869292,0
1991.869406,0
1991.869521,0
1991.869635,0
1991.869749,0
1991.869863,0
1991.869977,0
1991.870091,0
1991.870205,0
1991.87032,0
1991.870434,0
1991.870548,0
1991.870662,0
1991.870776,0
1991.87089,0
1991.871005,0
1991.871119,0
1991.871233,0
1991.871347,0
1991.871461,0
1991.871575,0
1991.871689,0
1991.871804,0
1991.871918,0
1991.872032,0
1991.872146,0
1991.87226,0
1991.872374,0
1991.872489,0
1991.872603,0
1991.872717,0
1991.872831,0
1991.872945,0
1991.873059,0
1991.873174,0
1991.873288,0
1991.873402,0
1991.873516,0
1991.87363,0
1991.873744,0
1991.873858,0
1991.873973,0
1991.874087,0
1991.874201,0
1991.874315,0
1991.874429,0
1991.874543,0
1991.874658,0
1991.874772,0
1991.874886,0
1991.875,0
1991.875114,0
1991.875228,0
1991.875342,0
1991.875457,0
1991.875571,0
1991.875685,0
1991.875799,0
1991.875913,0
1991.876027,0
1991.876142,0
1991.876256,0
1991.87637,0
1991.876484,0
1991.876598,0
1991.876712,0
1991.876826,0
1991.876941,0
1991.877055,0
1991.877169,0
1991.877283,0
1991.877397,0
1991.877511,0
1991.877626,0
1991.87774,0
1991.877854,0
1991.877968,0
1991.878082,0
1991.878196,0
1991.878311,0
1991.878425,0
1991.878539,0
1991.878653,0
1991.878767,0
1991.878881,0
1991.878995,0
1991.87911,0
1991.879224,0
1991.879338,0
1991.879452,0
1991.879566,0
1991.87968,0
1991.879795,0
1991.879909,0
1991.880023,0
1991.880137,0
1991.880251,0
1991.880365,0
1991.880479,0
1991.880594,0
1991.880708,0
1991.880822,0
1991.880936,0
1991.88105,0
1991.881164,0
1991.881279,0
1991.881393,0
1991.881507,0
1991.881621,0
1991.881735,0
1991.881849,0
1991.881963,0
1991.882078,0
1991.882192,0
1991.882306,0
1991.88242,0
1991.882534,0
1991.882648,0
1991.882763,0
1991.882877,0
1991.882991,0
1991.883105,0
1991.883219,0
1991.883333,0
1991.883447,0
1991.883562,0
1991.883676,0
1991.88379,0
1991.883904,0
1991.884018,0
1991.884132,0
1991.884247,0
1991.884361,0
1991.884475,0
1991.884589,0
1991.884703,0
1991.884817,0
1991.884932,0
1991.885046,0
1991.88516,0
1991.885274,0
1991.885388,0
1991.885502,0
1991.885616,0
1991.885731,0
1991.885845,0
1991.885959,0
1991.886073,0
1991.886187,0
1991.886301,0
1991.886416,0
1991.88653,0
1991.886644,0
1991.886758,0
1991.886872,0
1991.886986,0
1991.8871,0
1991.887215,0
1991.887329,0
1991.887443,0
1991.887557,0
1991.887671,0
1991.887785,0
1991.8879,0
1991.888014,0
1991.888128,0
1991.888242,0
1991.888356,0
1991.88847,0
1991.888584,0
1991.888699,0
1991.888813,0
1991.888927,0
1991.889041,0
1991.889155,0
1991.889269,0
1991.889384,0
1991.889498,0
1991.889612,0
1991.889726,0
1991.88984,0
1991.889954,0
1991.890068,0
1991.890183,0
1991.890297,0
1991.890411,0
1991.890525,0
1991.890639,0
1991.890753,0
1991.890868,0
1991.890982,0
1991.891096,0
1991.89121,0
1991.891324,0
1991.891438,0
1991.891553,0
1991.891667,0
1991.891781,29.5
1991.891895,0
1991.892009,0
1991.892123,0
1991.892237,0
1991.892352,0
1991.892466,0
1991.89258,0
1991.892694,0
1991.892808,0
1991.892922,0
1991.893037,0
1991.893151,0
1991.893265,0
1991.893379,0
1991.893493,0
1991.893607,0
1991.893721,0
1991.893836,0
1991.89395,0
1991.894064,0
1991.894178,0
1991.894292,0
1991.894406,0
1991.894521,32.29999924
1991.894635,0
1991.894749,0
1991.894863,0
1991.894977,0
1991.895091,0
1991.895205,0
1991.89532,0
1991.895434,0
1991.895548,0
1991.895662,0
1991.895776,0
1991.89589,0
1991.896005,0
1991.896119,0
1991.896233,0
1991.896347,0
1991.896461,0
1991.896575,0
1991.896689,0
1991.896804,0
1991.896918,0
1991.897032,0
1991.897146,0
1991.89726,5.300000191
1991.897374,0
1991.897489,0
1991.897603,0
1991.897717,0
1991.897831,0
1991.897945,0
1991.898059,0
1991.898174,0
1991.898288,0
1991.898402,0
1991.898516,0
1991.89863,0
1991.898744,0
1991.898858,0
1991.898973,0
1991.899087,0
1991.899201,0
1991.899315,0
1991.899429,0
1991.899543,0
1991.899658,0
1991.899772,0
1991.899886,0
1991.9,2
1991.900114,0
1991.900228,0
1991.900342,0
1991.900457,0
1991.900571,0
1991.900685,0
1991.900799,0
1991.900913,0
1991.901027,0
1991.901142,0
1991.901256,0
1991.90137,0
1991.901484,0
1991.901598,0
1991.901712,0
1991.901826,0
1991.901941,0
1991.902055,0
1991.902169,0
1991.902283,0
1991.902397,0
1991.902511,0
1991.902626,0
1991.90274,0
1991.902854,0
1991.902968,0
1991.903082,0
1991.903196,0
1991.903311,0
1991.903425,0
1991.903539,0
1991.903653,0
1991.903767,0
1991.903881,0
1991.903995,0
1991.90411,0
1991.904224,0
1991.904338,0
1991.904452,0
1991.904566,0
1991.90468,0
1991.904795,0
1991.904909,0
1991.905023,0
1991.905137,0
1991.905251,0
1991.905365,0
1991.905479,0
1991.905594,0
1991.905708,0
1991.905822,0
1991.905936,0
1991.90605,0
1991.906164,0
1991.906279,0
1991.906393,0
1991.906507,0
1991.906621,0
1991.906735,0
1991.906849,0
1991.906963,0
1991.907078,0
1991.907192,0
1991.907306,0
1991.90742,0
1991.907534,0
1991.907648,0
1991.907763,0
1991.907877,0
1991.907991,0
1991.908105,0
1991.908219,0
1991.908333,0
1991.908447,0
1991.908562,0
1991.908676,0
1991.90879,0
1991.908904,0
1991.909018,0
1991.909132,0
1991.909247,0
1991.909361,0
1991.909475,0
1991.909589,0
1991.909703,0
1991.909817,0
1991.909932,0
1991.910046,0
1991.91016,0
1991.910274,0
1991.910388,0
1991.910502,0
1991.910616,0
1991.910731,0
1991.910845,0
1991.910959,0
1991.911073,0
1991.911187,0
1991.911301,0
1991.911416,0
1991.91153,0
1991.911644,0
1991.911758,0
1991.911872,0
1991.911986,0
1991.9121,0
1991.912215,0
1991.912329,0
1991.912443,0
1991.912557,0
1991.912671,0
1991.912785,0
1991.9129,0
1991.913014,0
1991.913128,0
1991.913242,0
1991.913356,0
1991.91347,0
1991.913584,0
1991.913699,1
1991.913813,0
1991.913927,0
1991.914041,0
1991.914155,0
1991.914269,0
1991.914384,0
1991.914498,0
1991.914612,0
1991.914726,0
1991.91484,0
1991.914954,0
1991.915068,0
1991.915183,0
1991.915297,0
1991.915411,0
1991.915525,0
1991.915639,0
1991.915753,0
1991.915868,0
1991.915982,0
1991.916096,0
1991.91621,0
