NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: IN20 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 10:34:32 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
IN20,NB8568OW,8/22/83 19:00,8/23/83 5:00,-9,
IN20,NB8568OW,8/23/83 5:00,8/24/83 5:00,-9,
IN20,NB8568OW,8/24/83 5:00,8/25/83 5:00,-9,
IN20,NB8568OW,8/25/83 5:00,8/26/83 5:00,-9,
IN20,NB8568OW,8/26/83 5:00,8/27/83 5:00,-9,
IN20,NB8568OW,8/27/83 5:00,8/28/83 5:00,-9,
IN20,NB8568OW,8/28/83 5:00,8/29/83 5:00,-9,
IN20,NB8568OW,8/29/83 5:00,8/30/83 5:00,-9,
IN20,NB8568OW,8/30/83 5:00,8/31/83 5:00,-9,
IN20,NB8568OW,8/31/83 5:00,9/1/83 5:00,-9,
IN20,NB8568OW,9/1/83 5:00,9/2/83 5:00,-9,
IN20,NB8568OW,9/2/83 5:00,9/3/83 5:00,-9,z
IN20,NB8568OW,9/3/83 5:00,9/4/83 5:00,-9,
IN20,NB8568OW,9/4/83 5:00,9/5/83 5:00,-9,
IN20,NB8568OW,9/5/83 5:00,9/6/83 5:00,-9,
IN20,NB8568OW,9/6/83 5:00,9/6/83 14:30,-9,
IN20,NB8577OW,9/6/83 14:30,9/7/83 5:00,-9,
IN20,NB8577OW,9/7/83 5:00,9/8/83 5:00,-9,
IN20,NB8577OW,9/8/83 5:00,9/9/83 5:00,-9,
IN20,NB8577OW,9/9/83 5:00,9/10/83 5:00,-9,
IN20,NB8577OW,9/10/83 5:00,9/11/83 5:00,-9,
IN20,NB8577OW,9/11/83 5:00,9/12/83 5:00,-9,
IN20,NB8577OW,9/12/83 5:00,9/13/83 5:00,-9,
IN20,NB8577OW,9/13/83 5:00,9/13/83 15:00,-9,
IN20,NB8717OW,9/13/83 15:00,9/14/83 5:00,0,
IN20,NB8717OW,9/14/83 5:00,9/15/83 5:00,0,
IN20,NB8717OW,9/15/83 5:00,9/16/83 5:00,0,
IN20,NB8717OW,9/16/83 5:00,9/17/83 5:00,0.17,r
IN20,NB8717OW,9/17/83 5:00,9/18/83 5:00,0,
IN20,NB8717OW,9/18/83 5:00,9/19/83 5:00,0,
IN20,NB8717OW,9/19/83 5:00,9/20/83 5:00,0,
IN20,NB8717OW,9/20/83 5:00,9/20/83 14:30,0,
IN20,NB8836OW,9/20/83 14:30,9/21/83 5:00,0.72,r
IN20,NB8836OW,9/21/83 5:00,9/22/83 5:00,0.06,r
IN20,NB8836OW,9/22/83 5:00,9/23/83 5:00,-7,
IN20,NB8836OW,9/23/83 5:00,9/24/83 5:00,0,
IN20,NB8836OW,9/24/83 5:00,9/25/83 5:00,0,
IN20,NB8836OW,9/25/83 5:00,9/26/83 5:00,0,
IN20,NB8836OW,9/26/83 5:00,9/27/83 5:00,0,
IN20,NB8836OW,9/27/83 5:00,9/27/83 14:00,0,
IN20,NB8898OW,9/27/83 14:00,9/28/83 5:00,0,
IN20,NB8898OW,9/28/83 5:00,9/29/83 5:00,0,
IN20,NB8898OW,9/29/83 5:00,9/30/83 5:00,0,
IN20,NB8898OW,9/30/83 5:00,10/1/83 5:00,0,
IN20,NB8898OW,10/1/83 5:00,10/2/83 5:00,0,
IN20,NB8898OW,10/2/83 5:00,10/3/83 5:00,0,
IN20,NB8898OW,10/3/83 5:00,10/4/83 5:00,0,
IN20,NB8898OW,10/4/83 5:00,10/4/83 14:15,0,
IN20,NB9066OW,10/4/83 14:15,10/5/83 5:00,0.05,r
IN20,NB9066OW,10/5/83 5:00,10/6/83 5:00,0.18,r
IN20,NB9066OW,10/6/83 5:00,10/7/83 5:00,0,
IN20,NB9066OW,10/7/83 5:00,10/8/83 5:00,0,
IN20,NB9066OW,10/8/83 5:00,10/9/83 5:00,0.08,r
IN20,NB9066OW,10/9/83 5:00,10/10/83 5:00,0,
IN20,NB9066OW,10/10/83 5:00,10/11/83 5:00,0,
IN20,NB9066OW,10/11/83 5:00,10/11/83 14:00,0,
IN20,NB9181OW,10/11/83 14:00,10/12/83 5:00,0,
IN20,NB9181OW,10/12/83 5:00,10/13/83 5:00,0.43,r
IN20,NB9181OW,10/13/83 5:00,10/14/83 5:00,0.88,r
IN20,NB9181OW,10/14/83 5:00,10/15/83 5:00,0,
IN20,NB9181OW,10/15/83 5:00,10/16/83 5:00,0,
IN20,NB9181OW,10/16/83 5:00,10/17/83 5:00,0.03,r
IN20,NB9181OW,10/17/83 5:00,10/18/83 5:00,0.03,r
IN20,NB9181OW,10/18/83 5:00,10/18/83 14:00,0.02,r
