NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: KY03 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 10:36:08 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
KY03,NC0224OW,11/29/83 14:00,11/30/83 5:00,0,
KY03,NC0224OW,11/30/83 5:00,12/1/83 5:00,0,
KY03,NC0224OW,12/1/83 5:00,12/2/83 5:00,0,
KY03,NC0224OW,12/2/83 5:00,12/3/83 5:00,0.35,r
KY03,NC0224OW,12/3/83 5:00,12/4/83 5:00,1.05,r
KY03,NC0224OW,12/4/83 5:00,12/5/83 5:00,0,
KY03,NC0224OW,12/5/83 5:00,12/6/83 5:00,0.65,r
KY03,NC0224OW,12/6/83 5:00,12/6/83 14:30,0.18,
KY03,NC0379OW,12/6/83 14:30,12/7/83 5:00,0.05,r
KY03,NC0379OW,12/7/83 5:00,12/8/83 5:00,0,
KY03,NC0379OW,12/8/83 5:00,12/9/83 5:00,0,
KY03,NC0379OW,12/9/83 5:00,12/10/83 5:00,0.25,
KY03,NC0379OW,12/10/83 5:00,12/11/83 5:00,0,
KY03,NC0379OW,12/11/83 5:00,12/12/83 5:00,0.2,
KY03,NC0379OW,12/12/83 5:00,12/13/83 5:00,0.01,
KY03,NC0379OW,12/13/83 5:00,12/13/83 14:00,0,
KY03,NC0444OW,12/13/83 14:00,12/14/83 5:00,0,
KY03,NC0444OW,12/14/83 5:00,12/15/83 5:00,0.03,r
KY03,NC0444OW,12/15/83 5:00,12/16/83 5:00,0,
KY03,NC0444OW,12/16/83 5:00,12/17/83 5:00,0,
KY03,NC0444OW,12/17/83 5:00,12/18/83 5:00,0,
KY03,NC0444OW,12/18/83 5:00,12/19/83 5:00,0,
KY03,NC0444OW,12/19/83 5:00,12/20/83 5:00,0,
KY03,NC0444OW,12/20/83 5:00,12/20/83 14:15,0,
KY03,NC0663OW,12/20/83 14:15,12/21/83 5:00,0,
KY03,NC0663OW,12/21/83 5:00,12/22/83 5:00,0.21,
KY03,NC0663OW,12/22/83 5:00,12/23/83 5:00,0.2,
KY03,NC0663OW,12/23/83 5:00,12/24/83 5:00,0,
KY03,NC0663OW,12/24/83 5:00,12/25/83 5:00,0,
KY03,NC0663OW,12/25/83 5:00,12/26/83 5:00,0,
KY03,NC0663OW,12/26/83 5:00,12/27/83 5:00,0.09,
KY03,NC0663OW,12/27/83 5:00,12/28/83 5:00,-7,
KY03,NC0663OW,12/28/83 5:00,12/29/83 5:00,-9,
KY03,NC0663OW,12/29/83 5:00,12/30/83 5:00,-9,
KY03,NC0663OW,12/30/83 5:00,12/31/83 5:00,-9,
KY03,NC0663OW,12/31/83 5:00,1/1/84 5:00,-9,
KY03,NC0663OW,1/1/84 5:00,1/2/84 5:00,-9,
KY03,NC0663OW,1/2/84 5:00,1/3/84 5:00,-9,
KY03,NC0663OW,1/3/84 5:00,1/3/84 14:30,-9,
KY03,NC1027OW,1/3/84 14:30,1/4/84 5:00,0,
KY03,NC1027OW,1/4/84 5:00,1/5/84 5:00,0.04,r
KY03,NC1027OW,1/5/84 5:00,1/6/84 5:00,0,
KY03,NC1027OW,1/6/84 5:00,1/7/84 5:00,0.03,r
KY03,NC1027OW,1/7/84 5:00,1/8/84 5:00,0,
KY03,NC1027OW,1/8/84 5:00,1/9/84 5:00,0,
KY03,NC1027OW,1/9/84 5:00,1/10/84 5:00,0.02,m
KY03,NC1027OW,1/10/84 5:00,1/10/84 14:00,0.01,s
KY03,NC1117OW,1/10/84 14:00,1/11/84 5:00,0,
KY03,NC1117OW,1/11/84 5:00,1/12/84 5:00,0,
KY03,NC1117OW,1/12/84 5:00,1/13/84 5:00,0,
KY03,NC1117OW,1/13/84 5:00,1/14/84 5:00,0,
