NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: MA01 Date Range: 1/1/1981 to 2/1/2011 Report Date: 5/27/2014 10:38:39 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
MA01,NA9218OW,12/15/81 14:00,12/16/81 5:00,1.4,r
MA01,NA9218OW,12/16/81 5:00,12/17/81 5:00,0.15,r
MA01,NA9218OW,12/17/81 5:00,12/18/81 5:00,0,
MA01,NA9218OW,12/18/81 5:00,12/19/81 5:00,0.05,r
MA01,NA9218OW,12/19/81 5:00,12/20/81 5:00,0,
MA01,NA9218OW,12/20/81 5:00,12/21/81 5:00,0,
MA01,NA9218OW,12/21/81 5:00,12/22/81 5:00,0.2,r
MA01,NA9218OW,12/22/81 5:00,12/23/81 5:00,0.05,r
MA01,NA9218OW,12/23/81 5:00,12/23/81 13:00,0,
MA01,NA9210OW,12/23/81 13:00,12/24/81 5:00,0.18,
MA01,NA9210OW,12/24/81 5:00,12/25/81 5:00,0,
MA01,NA9210OW,12/25/81 5:00,12/26/81 5:00,0,
MA01,NA9210OW,12/26/81 5:00,12/27/81 5:00,0,
MA01,NA9210OW,12/27/81 5:00,12/28/81 5:00,0.47,
MA01,NA9210OW,12/28/81 5:00,12/29/81 5:00,0.4,
MA01,NA9210OW,12/29/81 5:00,12/29/81 14:30,0.1,
MA01,NA9337OW,12/29/81 14:30,12/30/81 5:00,0,
MA01,NA9337OW,12/30/81 5:00,12/31/81 5:00,0,
MA01,NA9337OW,12/31/81 5:00,1/1/82 5:00,0,
MA01,NA9337OW,1/1/82 5:00,1/2/82 5:00,1.4,r
MA01,NA9337OW,1/2/82 5:00,1/3/82 5:00,0,
MA01,NA9337OW,1/3/82 5:00,1/4/82 5:00,0,
MA01,NA9337OW,1/4/82 5:00,1/5/82 5:00,0.9,r
MA01,NA9337OW,1/5/82 5:00,1/5/82 17:00,0,
MA01,NA9424OW,1/5/82 17:00,1/6/82 5:00,0,
MA01,NA9424OW,1/6/82 5:00,1/7/82 5:00,0,
MA01,NA9424OW,1/7/82 5:00,1/8/82 5:00,0.1,r
MA01,NA9424OW,1/8/82 5:00,1/9/82 5:00,0,
MA01,NA9424OW,1/9/82 5:00,1/10/82 5:00,0.05,s
MA01,NA9424OW,1/10/82 5:00,1/11/82 5:00,0,
MA01,NA9424OW,1/11/82 5:00,1/12/82 5:00,0,
MA01,NA9424OW,1/12/82 5:00,1/12/82 20:00,0,
MA01,NA9519OW,1/12/82 20:00,1/13/82 5:00,0,
MA01,NA9519OW,1/13/82 5:00,1/14/82 5:00,0,
MA01,NA9519OW,1/14/82 5:00,1/15/82 5:00,0.93,r
MA01,NA9519OW,1/15/82 5:00,1/16/82 5:00,0,
MA01,NA9519OW,1/16/82 5:00,1/17/82 5:00,0.1,s
MA01,NA9519OW,1/17/82 5:00,1/18/82 5:00,0,
MA01,NA9519OW,1/18/82 5:00,1/19/82 5:00,0,
MA01,NA9519OW,1/19/82 5:00,1/19/82 14:00,0,
MA01,NA9730OW,1/19/82 14:00,1/20/82 5:00,0,
MA01,NA9730OW,1/20/82 5:00,1/21/82 5:00,-7,
MA01,NA9730OW,1/21/82 5:00,1/22/82 5:00,0,
MA01,NA9730OW,1/22/82 5:00,1/23/82 5:00,0,
MA01,NA9730OW,1/23/82 5:00,1/24/82 5:00,0.6,r
MA01,NA9730OW,1/24/82 5:00,1/25/82 5:00,0.05,r
MA01,NA9730OW,1/25/82 5:00,1/26/82 5:00,0,
MA01,NA9730OW,1/26/82 5:00,1/26/82 14:00,0,
MA01,NA9732OW,1/26/82 14:00,1/27/82 5:00,0,
MA01,NA9732OW,1/27/82 5:00,1/28/82 5:00,0,
MA01,NA9732OW,1/28/82 5:00,1/29/82 5:00,-7,s
MA01,NA9732OW,1/29/82 5:00,1/30/82 5:00,0,
MA01,NA9732OW,1/30/82 5:00,1/31/82 5:00,0,
MA01,NA9732OW,1/31/82 5:00,2/1/82 5:00,0.25,r
MA01,NA9732OW,2/1/82 5:00,2/2/82 5:00,0.5,r
MA01,NA9732OW,2/2/82 5:00,2/2/82 14:00,0,
MA01,NA9815OW,2/2/82 14:00,2/3/82 5:00,0,
MA01,NA9815OW,2/3/82 5:00,2/4/82 5:00,0.37,r
MA01,NA9815OW,2/4/82 5:00,2/5/82 5:00,0.13,r
MA01,NA9815OW,2/5/82 5:00,2/6/82 5:00,0,
MA01,NA9815OW,2/6/82 5:00,2/7/82 5:00,0,
MA01,NA9815OW,2/7/82 5:00,2/8/82 5:00,0,
MA01,NA9815OW,2/8/82 5:00,2/9/82 5:00,0,
MA01,NA9815OW,2/9/82 5:00,2/9/82 14:00,0,
MA01,NA9873OW,2/9/82 14:00,2/10/82 5:00,0.56,r
MA01,NA9873OW,2/10/82 5:00,2/11/82 5:00,0,
MA01,NA9873OW,2/11/82 5:00,2/12/82 5:00,0,
MA01,NA9873OW,2/12/82 5:00,2/13/82 5:00,0,
MA01,NA9873OW,2/13/82 5:00,2/14/82 5:00,0.05,s
MA01,NA9873OW,2/14/82 5:00,2/15/82 5:00,0,
MA01,NA9873OW,2/15/82 5:00,2/16/82 5:00,0,
MA01,NA9873OW,2/16/82 5:00,2/16/82 14:00,0,
MA01,NB0125OW,2/16/82 14:00,2/17/82 5:00,0,
MA01,NB0125OW,2/17/82 5:00,2/18/82 5:00,0,
MA01,NB0125OW,2/18/82 5:00,2/19/82 5:00,0,
MA01,NB0125OW,2/19/82 5:00,2/20/82 5:00,0.47,r
MA01,NB0125OW,2/20/82 5:00,2/21/82 5:00,1.55,r
MA01,NB0125OW,2/21/82 5:00,2/22/82 5:00,0.05,r
MA01,NB0125OW,2/22/82 5:00,2/23/82 5:00,0,
MA01,NB0125OW,2/23/82 5:00,2/23/82 18:00,0,
MA01,NB0205OW,2/23/82 18:00,2/24/82 5:00,0,
MA01,NB0205OW,2/24/82 5:00,2/25/82 5:00,0,
MA01,NB0205OW,2/25/82 5:00,2/26/82 5:00,0,
MA01,NB0205OW,2/26/82 5:00,2/27/82 5:00,0,
MA01,NB0205OW,2/27/82 5:00,2/28/82 5:00,0,
MA01,NB0205OW,2/28/82 5:00,3/1/82 5:00,0,
MA01,NB0205OW,3/1/82 5:00,3/2/82 5:00,0,
MA01,NB0205OW,3/2/82 5:00,3/2/82 14:00,0.2,s
MA01,NB0213OW,3/2/82 14:00,3/3/82 5:00,0,
MA01,NB0213OW,3/3/82 5:00,3/4/82 5:00,0,
MA01,NB0213OW,3/4/82 5:00,3/5/82 5:00,0.18,r
MA01,NB0213OW,3/5/82 5:00,3/6/82 5:00,0.25,r
MA01,NB0213OW,3/6/82 5:00,3/7/82 5:00,0.59,r
MA01,NB0213OW,3/7/82 5:00,3/8/82 5:00,0.54,r
MA01,NB0213OW,3/8/82 5:00,3/9/82 5:00,0,
MA01,NB0213OW,3/9/82 5:00,3/9/82 13:00,0,
MA01,NB0286OW,3/9/82 13:00,3/10/82 5:00,-7,r
MA01,NB0286OW,3/10/82 5:00,3/11/82 5:00,0.07,r
MA01,NB0286OW,3/11/82 5:00,3/12/82 5:00,0.06,r
MA01,NB0286OW,3/12/82 5:00,3/13/82 5:00,0,
MA01,NB0286OW,3/13/82 5:00,3/14/82 5:00,0.16,r
MA01,NB0286OW,3/14/82 5:00,3/15/82 5:00,0,
MA01,NB0286OW,3/15/82 5:00,3/16/82 5:00,0,
MA01,NB0286OW,3/16/82 5:00,3/16/82 13:00,0,
MA01,NB0402OW,3/16/82 14:00,3/17/82 5:00,0,
MA01,NB0402OW,3/17/82 5:00,3/18/82 5:00,0.14,r
MA01,NB0402OW,3/18/82 5:00,3/19/82 5:00,0,
MA01,NB0402OW,3/19/82 5:00,3/20/82 5:00,0,
MA01,NB0402OW,3/20/82 5:00,3/21/82 5:00,0,
MA01,NB0402OW,3/21/82 5:00,3/22/82 5:00,0.2,r
MA01,NB0402OW,3/22/82 5:00,3/23/82 5:00,0,
MA01,NB0402OW,3/23/82 5:00,3/23/82 14:00,0,
MA01,NB0494OW,3/23/82 14:00,3/24/82 5:00,-7,r
MA01,NB0494OW,3/24/82 5:00,3/25/82 5:00,0,
MA01,NB0494OW,3/25/82 5:00,3/26/82 5:00,0,
MA01,NB0494OW,3/26/82 5:00,3/27/82 5:00,0.06,r
MA01,NB0494OW,3/27/82 5:00,3/28/82 5:00,0,
MA01,NB0494OW,3/28/82 5:00,3/29/82 5:00,0,
MA01,NB0494OW,3/29/82 5:00,3/30/82 5:00,0,
MA01,NB0494OW,3/30/82 5:00,3/30/82 14:00,0,
MA01,NB0718OW,3/30/82 14:00,3/31/82 5:00,0,
MA01,NB0718OW,3/31/82 5:00,4/1/82 5:00,0.3,r
MA01,NB0718OW,4/1/82 5:00,4/2/82 5:00,0.15,r
MA01,NB0718OW,4/2/82 5:00,4/3/82 5:00,0,
MA01,NB0718OW,4/3/82 5:00,4/4/82 5:00,0.25,
MA01,NB0718OW,4/4/82 5:00,4/5/82 5:00,0.65,
MA01,NB0718OW,4/5/82 5:00,4/6/82 5:00,0,
MA01,NB0718OW,4/6/82 5:00,4/7/82 5:00,0.28,s
MA01,NB0718OW,4/7/82 5:00,4/8/82 5:00,-9,
MA01,NB0718OW,4/8/82 5:00,4/8/82 13:00,-9,
MA01,NB0687OW,4/8/82 13:00,4/9/82 5:00,0,
MA01,NB0687OW,4/9/82 5:00,4/10/82 5:00,0,
MA01,NB0687OW,4/10/82 5:00,4/11/82 5:00,0,
MA01,NB0687OW,4/11/82 5:00,4/12/82 5:00,0,
MA01,NB0687OW,4/12/82 5:00,4/13/82 5:00,0,
MA01,NB0687OW,4/13/82 5:00,4/13/82 16:00,-7,r
MA01,NB0791OW,4/13/82 16:00,4/14/82 5:00,-7,r
MA01,NB0791OW,4/14/82 5:00,4/15/82 5:00,0,
MA01,NB0791OW,4/15/82 5:00,4/16/82 5:00,0,
MA01,NB0791OW,4/16/82 5:00,4/17/82 5:00,0,
MA01,NB0791OW,4/17/82 5:00,4/18/82 5:00,0,
MA01,NB0791OW,4/18/82 5:00,4/19/82 5:00,0.07,r
MA01,NB0791OW,4/19/82 5:00,4/20/82 5:00,0,
MA01,NB0791OW,4/20/82 5:00,4/20/82 14:00,0,
MA01,NB0908OW,4/20/82 14:00,4/21/82 5:00,0,
MA01,NB0908OW,4/21/82 5:00,4/22/82 5:00,0.17,r
MA01,NB0908OW,4/22/82 5:00,4/23/82 5:00,0,
MA01,NB0908OW,4/23/82 5:00,4/24/82 5:00,0,
MA01,NB0908OW,4/24/82 5:00,4/25/82 5:00,0,
MA01,NB0908OW,4/25/82 5:00,4/26/82 5:00,0,
MA01,NB0908OW,4/26/82 5:00,4/27/82 5:00,0,
MA01,NB0908OW,4/27/82 5:00,4/27/82 14:00,0.77,r
