NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: MD13 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 10:46:09 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
MD13,NB5684OW,3/8/83 14:00,3/9/83 5:00,0.1,r
MD13,NB5684OW,3/9/83 5:00,3/10/83 5:00,0.6,r
MD13,NB5684OW,3/10/83 5:00,3/11/83 5:00,0,
MD13,NB5684OW,3/11/83 5:00,3/12/83 5:00,0.25,r
MD13,NB5684OW,3/12/83 5:00,3/13/83 5:00,0,
MD13,NB5684OW,3/13/83 5:00,3/14/83 5:00,0,
MD13,NB5684OW,3/14/83 5:00,3/15/83 5:00,0,
MD13,NB5684OW,3/15/83 5:00,3/15/83 13:45,0,
MD13,NB5824OW,3/15/83 13:45,3/16/83 5:00,0,
MD13,NB5824OW,3/16/83 5:00,3/17/83 5:00,0,
MD13,NB5824OW,3/17/83 5:00,3/18/83 5:00,0,
MD13,NB5824OW,3/18/83 5:00,3/19/83 5:00,1.63,
MD13,NB5824OW,3/19/83 5:00,3/20/83 5:00,0.06,
MD13,NB5824OW,3/20/83 5:00,3/21/83 5:00,0,
MD13,NB5824OW,3/21/83 5:00,3/22/83 5:00,1.77,
MD13,NB5824OW,3/22/83 5:00,3/22/83 14:00,0,
MD13,NB5850OW,3/22/83 14:00,3/23/83 5:00,0,
MD13,NB5850OW,3/23/83 5:00,3/24/83 5:00,0,
MD13,NB5850OW,3/24/83 5:00,3/25/83 5:00,0,
MD13,NB5850OW,3/25/83 5:00,3/26/83 5:00,0,
MD13,NB5850OW,3/26/83 5:00,3/27/83 5:00,0,
MD13,NB5850OW,3/27/83 5:00,3/28/83 5:00,0,
MD13,NB5850OW,3/28/83 5:00,3/29/83 5:00,1,r
MD13,NB5850OW,3/29/83 5:00,3/29/83 14:00,0.03,r
MD13,NB6001OW,3/29/83 14:00,3/30/83 5:00,0,
MD13,NB6001OW,3/30/83 5:00,3/31/83 5:00,0,
MD13,NB6001OW,3/31/83 5:00,4/1/83 5:00,0,
MD13,NB6001OW,4/1/83 5:00,4/2/83 5:00,0,
MD13,NB6001OW,4/2/83 5:00,4/3/83 5:00,0.23,r
MD13,NB6001OW,4/3/83 5:00,4/4/83 5:00,0.41,r
MD13,NB6001OW,4/4/83 5:00,4/5/83 5:00,0,
MD13,NB6001OW,4/5/83 5:00,4/5/83 15:00,0,
MD13,NB6117OW,4/5/83 15:00,4/6/83 5:00,0,
MD13,NB6117OW,4/6/83 5:00,4/7/83 5:00,0,
MD13,NB6117OW,4/7/83 5:00,4/8/83 5:00,0.08,
MD13,NB6117OW,4/8/83 5:00,4/9/83 5:00,0.07,r
MD13,NB6117OW,4/9/83 5:00,4/10/83 5:00,1.43,r
MD13,NB6117OW,4/10/83 5:00,4/11/83 5:00,0.78,r
MD13,NB6117OW,4/11/83 5:00,4/12/83 5:00,0.53,
MD13,NB6117OW,4/12/83 5:00,4/12/83 14:00,0,
MD13,NB6298OW,4/12/83 14:00,4/13/83 5:00,0,
MD13,NB6298OW,4/13/83 5:00,4/14/83 5:00,0,
MD13,NB6298OW,4/14/83 5:00,4/15/83 5:00,0,
MD13,NB6298OW,4/15/83 5:00,4/16/83 5:00,1.77,r
MD13,NB6298OW,4/16/83 5:00,4/17/83 5:00,0.59,
MD13,NB6298OW,4/17/83 5:00,4/18/83 5:00,0.05,
MD13,NB6298OW,4/18/83 5:00,4/19/83 5:00,0,
MD13,NB6298OW,4/19/83 5:00,4/19/83 13:30,0,
MD13,NB6371OW,4/19/83 13:30,4/20/83 5:00,0,
MD13,NB6371OW,4/20/83 5:00,4/21/83 5:00,0,
MD13,NB6371OW,4/21/83 5:00,4/22/83 5:00,0,
MD13,NB6371OW,4/22/83 5:00,4/23/83 5:00,0,
