NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: MI26 Date Range: 1/1/1980 to 2/1/2010 Report Date: 5/27/2014 10:54:19 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
MI26,NA1872OW,1/1/80 5:00,1/2/80 5:00,0,
MI26,NA1872OW,1/2/80 5:00,1/2/80 16:30,-7,m
MI26,NA1871OW,1/2/80 16:30,1/3/80 5:00,0,
MI26,NA1871OW,1/3/80 5:00,1/4/80 5:00,0,
MI26,NA1871OW,1/4/80 5:00,1/5/80 5:00,0,
MI26,NA1871OW,1/5/80 5:00,1/6/80 5:00,0,
MI26,NA1871OW,1/6/80 5:00,1/7/80 5:00,0.05,s
MI26,NA1871OW,1/7/80 5:00,1/8/80 5:00,0.09,s
MI26,NA1871OW,1/8/80 5:00,1/8/80 16:15,0,
MI26,NA1909OW,1/8/80 16:15,1/9/80 5:00,0,
MI26,NA1909OW,1/9/80 5:00,1/10/80 5:00,0,
MI26,NA1909OW,1/10/80 5:00,1/11/80 5:00,0.05,
MI26,NA1909OW,1/11/80 5:00,1/12/80 5:00,0.28,
MI26,NA1909OW,1/12/80 5:00,1/13/80 5:00,0,
MI26,NA1909OW,1/13/80 5:00,1/14/80 5:00,-7,
MI26,NA1909OW,1/14/80 5:00,1/15/80 5:00,-7,
MI26,NA1909OW,1/15/80 5:00,1/15/80 16:30,0,
MI26,NA1950OW,1/15/80 16:30,1/16/80 5:00,0,
MI26,NA1950OW,1/16/80 5:00,1/17/80 5:00,-7,r
MI26,NA1950OW,1/17/80 5:00,1/18/80 5:00,0.15,r
MI26,NA1950OW,1/18/80 5:00,1/19/80 5:00,0,
MI26,NA1950OW,1/19/80 5:00,1/20/80 5:00,0,
MI26,NA1950OW,1/20/80 5:00,1/21/80 5:00,0,
MI26,NA1950OW,1/21/80 5:00,1/22/80 5:00,0.05,m
MI26,NA1950OW,1/22/80 5:00,1/22/80 16:15,-7,s
MI26,NA1978OW,1/22/80 16:15,1/23/80 5:00,0.01,s
MI26,NA1978OW,1/23/80 5:00,1/24/80 5:00,0.02,s
MI26,NA1978OW,1/24/80 5:00,1/25/80 5:00,0.05,s
MI26,NA1978OW,1/25/80 5:00,1/26/80 5:00,0.04,s
MI26,NA1978OW,1/26/80 5:00,1/27/80 5:00,-7,s
MI26,NA1978OW,1/27/80 5:00,1/28/80 5:00,0.02,s
MI26,NA1978OW,1/28/80 5:00,1/29/80 5:00,0.03,s
MI26,NA1978OW,1/29/80 5:00,1/29/80 16:30,0.01,s
MI26,NA2027OW,1/29/80 16:30,1/30/80 5:00,0,
MI26,NA2027OW,1/30/80 5:00,1/31/80 5:00,0,
MI26,NA2027OW,1/31/80 5:00,2/1/80 5:00,0,
