NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: MN16 Date Range: 1/1/1980 to 2/1/2010 Report Date: 5/27/2014 11:03:43 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
MN16,NA1867OW,1/2/80 14:50,1/3/80 6:00,0,
MN16,NA1867OW,1/3/80 6:00,1/4/80 6:00,0,
MN16,NA1867OW,1/4/80 6:00,1/5/80 6:00,0,
MN16,NA1867OW,1/5/80 6:00,1/6/80 6:00,0,
MN16,NA1867OW,1/6/80 6:00,1/7/80 6:00,0.73,s
MN16,NA1867OW,1/7/80 6:00,1/8/80 6:00,0.03,s
MN16,NA1867OW,1/8/80 6:00,1/8/80 15:20,0,
MN16,NA1896OW,1/8/80 15:20,1/9/80 6:00,0,
MN16,NA1896OW,1/9/80 6:00,1/10/80 6:00,0,
MN16,NA1896OW,1/10/80 6:00,1/11/80 6:00,0.1,m
MN16,NA1896OW,1/11/80 6:00,1/12/80 6:00,0.04,m
MN16,NA1896OW,1/12/80 6:00,1/13/80 6:00,0,
MN16,NA1896OW,1/13/80 6:00,1/14/80 6:00,0,
MN16,NA1896OW,1/14/80 6:00,1/15/80 6:00,0.54,
MN16,NA1896OW,1/15/80 6:00,1/15/80 18:00,0.07,s
MN16,NA1923OW,1/15/80 18:00,1/16/80 6:00,0,
MN16,NA1923OW,1/16/80 6:00,1/17/80 6:00,0,
MN16,NA1923OW,1/17/80 6:00,1/18/80 6:00,0,
MN16,NA1923OW,1/18/80 6:00,1/19/80 6:00,0,
MN16,NA1923OW,1/19/80 6:00,1/20/80 6:00,0,
MN16,NA1923OW,1/20/80 6:00,1/21/80 6:00,0,
MN16,NA1923OW,1/21/80 6:00,1/22/80 6:00,-9,s
MN16,NA1923OW,1/22/80 6:00,1/22/80 14:40,-9,s
MN16,NA1965OW,1/22/80 14:40,1/23/80 6:00,0,
MN16,NA1965OW,1/23/80 6:00,1/24/80 6:00,0.05,s
MN16,NA1965OW,1/24/80 6:00,1/25/80 6:00,0.04,s
MN16,NA1965OW,1/25/80 6:00,1/26/80 6:00,0.01,s
MN16,NA1965OW,1/26/80 6:00,1/27/80 6:00,0,
MN16,NA1965OW,1/27/80 6:00,1/28/80 6:00,0.02,s
MN16,NA1965OW,1/28/80 6:00,1/29/80 6:00,0.02,s
MN16,NA1965OW,1/29/80 6:00,1/29/80 14:30,0,
MN16,NA2009OW,1/29/80 14:30,1/30/80 6:00,0,
MN16,NA2009OW,1/30/80 6:00,1/31/80 6:00,0,
MN16,NA2009OW,1/31/80 6:00,2/1/80 6:00,0,
MN16,NA2009OW,2/1/80 6:00,2/2/80 6:00,0,
MN16,NA2009OW,2/2/80 6:00,2/3/80 6:00,0,
MN16,NA2009OW,2/3/80 6:00,2/4/80 6:00,0,
MN16,NA2009OW,2/4/80 6:00,2/5/80 6:00,0.08,s
MN16,NA2009OW,2/5/80 6:00,2/5/80 16:45,0.11,s
MN16,NA2042OW,2/5/80 16:45,2/6/80 6:00,0.02,s
MN16,NA2042OW,2/6/80 6:00,2/7/80 6:00,0,
MN16,NA2042OW,2/7/80 6:00,2/8/80 6:00,0,
MN16,NA2042OW,2/8/80 6:00,2/9/80 6:00,0,
MN16,NA2042OW,2/9/80 6:00,2/10/80 6:00,0.08,s
MN16,NA2042OW,2/10/80 6:00,2/11/80 6:00,0.07,s
MN16,NA2042OW,2/11/80 6:00,2/12/80 6:00,0.01,s
MN16,NA2042OW,2/12/80 6:00,2/12/80 14:25,0,
MN16,NA2087OW,2/12/80 14:25,2/13/80 6:00,0,
MN16,NA2087OW,2/13/80 6:00,2/14/80 6:00,0,
MN16,NA2087OW,2/14/80 6:00,2/15/80 6:00,0,
MN16,NA2087OW,2/15/80 6:00,2/16/80 6:00,0,
MN16,NA2087OW,2/16/80 6:00,2/17/80 6:00,0,
MN16,NA2087OW,2/17/80 6:00,2/18/80 6:00,0,
MN16,NA2087OW,2/18/80 6:00,2/19/80 6:00,0,
MN16,NA2087OW,2/19/80 6:00,2/19/80 15:00,0.02,s
MN16,NA2185OW,2/19/80 15:00,2/20/80 6:00,0.18,s
MN16,NA2185OW,2/20/80 6:00,2/21/80 6:00,0,
MN16,NA2185OW,2/21/80 6:00,2/22/80 6:00,0.01,s
MN16,NA2185OW,2/22/80 6:00,2/23/80 6:00,0.09,s
MN16,NA2185OW,2/23/80 6:00,2/24/80 6:00,0.04,s
MN16,NA2185OW,2/24/80 6:00,2/25/80 6:00,0,
MN16,NA2185OW,2/25/80 6:00,2/26/80 6:00,0,
MN16,NA2185OW,2/26/80 6:00,2/26/80 14:30,0,
MN16,NA2151OW,2/26/80 14:30,2/27/80 6:00,0.01,s
MN16,NA2151OW,2/27/80 6:00,2/28/80 6:00,0,
MN16,NA2151OW,2/28/80 6:00,2/29/80 6:00,0,
MN16,NA2151OW,2/29/80 6:00,3/1/80 6:00,0,
MN16,NA2151OW,3/1/80 6:00,3/2/80 6:00,0,
MN16,NA2151OW,3/2/80 6:00,3/3/80 6:00,0,
MN16,NA2151OW,3/3/80 6:00,3/4/80 6:00,0,
MN16,NA2151OW,3/4/80 6:00,3/4/80 14:30,0,
MN16,NA2199OW,3/4/80 14:30,3/5/80 6:00,0,
MN16,NA2199OW,3/5/80 6:00,3/6/80 6:00,0,
MN16,NA2199OW,3/6/80 6:00,3/7/80 6:00,0,
MN16,NA2199OW,3/7/80 6:00,3/8/80 6:00,0,
MN16,NA2199OW,3/8/80 6:00,3/9/80 6:00,0,
MN16,NA2199OW,3/9/80 6:00,3/10/80 6:00,0.08,s
