NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: NC36 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 11:12:52 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
NC36,NB9496OW,10/18/83 14:00,10/19/83 4:00,0,
NC36,NB9496OW,10/19/83 4:00,10/20/83 4:00,0,
NC36,NB9496OW,10/20/83 4:00,10/21/83 4:00,0,
NC36,NB9496OW,10/21/83 4:00,10/22/83 4:00,0.05,r
NC36,NB9496OW,10/22/83 4:00,10/23/83 4:00,-7,r
NC36,NB9496OW,10/23/83 4:00,10/24/83 4:00,4.25,r
NC36,NB9496OW,10/24/83 4:00,10/25/83 4:00,0,
NC36,NB9496OW,10/25/83 4:00,10/25/83 13:00,0,
NC36,NB9606OW,10/25/83 13:00,10/26/83 4:00,0,
NC36,NB9606OW,10/26/83 4:00,10/27/83 4:00,-7,u
NC36,NB9606OW,10/27/83 4:00,10/28/83 4:00,-7,u
NC36,NB9606OW,10/28/83 4:00,10/29/83 4:00,-7,u
NC36,NB9606OW,10/29/83 4:00,10/30/83 4:00,-7,u
NC36,NB9606OW,10/30/83 4:00,10/31/83 4:00,0,
NC36,NB9606OW,10/31/83 4:00,11/1/83 4:00,0,
NC36,NB9606OW,11/1/83 4:00,11/1/83 14:00,0,
NC36,NB9729OW,11/1/83 14:00,11/2/83 5:00,0,
NC36,NB9729OW,11/2/83 5:00,11/3/83 5:00,0.04,r
NC36,NB9729OW,11/3/83 5:00,11/4/83 5:00,0,
NC36,NB9729OW,11/4/83 5:00,11/5/83 5:00,0.42,r
NC36,NB9729OW,11/5/83 5:00,11/6/83 5:00,0,
NC36,NB9729OW,11/6/83 5:00,11/7/83 5:00,0,
NC36,NB9729OW,11/7/83 5:00,11/8/83 5:00,0,
NC36,NB9729OW,11/8/83 5:00,11/8/83 14:00,0,
NC36,NB9868OW,11/8/83 14:00,11/9/83 5:00,0,
NC36,NB9868OW,11/9/83 5:00,11/10/83 5:00,0.4,r
NC36,NB9868OW,11/10/83 5:00,11/11/83 5:00,0.07,r
NC36,NB9868OW,11/11/83 5:00,11/12/83 5:00,0,
NC36,NB9868OW,11/12/83 5:00,11/13/83 5:00,0,
NC36,NB9868OW,11/13/83 5:00,11/14/83 5:00,0,
NC36,NB9868OW,11/14/83 5:00,11/15/83 5:00,0,
NC36,NB9868OW,11/15/83 5:00,11/15/83 14:00,0.51,r
NC36,NB9927OW,11/15/83 14:00,11/16/83 5:00,0.6,r
NC36,NB9927OW,11/16/83 5:00,11/17/83 5:00,0,
NC36,NB9927OW,11/17/83 5:00,11/18/83 5:00,-7,r
NC36,NB9927OW,11/18/83 5:00,11/19/83 5:00,-7,r
NC36,NB9927OW,11/19/83 5:00,11/20/83 5:00,0,
NC36,NB9927OW,11/20/83 5:00,11/21/83 5:00,0.5,
NC36,NB9927OW,11/21/83 5:00,11/22/83 5:00,0,
NC36,NB9927OW,11/22/83 5:00,11/22/83 14:00,0,
NC36,NC0133OW,11/22/83 14:00,11/23/83 5:00,0,
NC36,NC0133OW,11/23/83 5:00,11/24/83 5:00,0,
NC36,NC0133OW,11/24/83 5:00,11/25/83 5:00,0.48,r
NC36,NC0133OW,11/25/83 5:00,11/26/83 5:00,0.45,r
NC36,NC0133OW,11/26/83 5:00,11/27/83 5:00,0,
NC36,NC0133OW,11/27/83 5:00,11/28/83 5:00,0,
NC36,NC0133OW,11/28/83 5:00,11/29/83 5:00,0.14,r
NC36,NC0133OW,11/29/83 5:00,11/29/83 14:00,0,
NC36,NC0342OW,11/29/83 14:00,11/30/83 5:00,0,
NC36,NC0342OW,11/30/83 5:00,12/1/83 5:00,0,
NC36,NC0342OW,12/1/83 5:00,12/2/83 5:00,0,
NC36,NC0342OW,12/2/83 5:00,12/3/83 5:00,0,
NC36,NC0342OW,12/3/83 5:00,12/4/83 5:00,1.2,r
NC36,NC0342OW,12/4/83 5:00,12/5/83 5:00,0.39,r
NC36,NC0342OW,12/5/83 5:00,12/6/83 5:00,0,
NC36,NC0342OW,12/6/83 5:00,12/6/83 14:00,1.83,r
NC36,NC0332OW,12/6/83 14:00,12/7/83 5:00,0.43,r
NC36,NC0332OW,12/7/83 5:00,12/8/83 5:00,0,
NC36,NC0332OW,12/8/83 5:00,12/9/83 5:00,0,
NC36,NC0332OW,12/9/83 5:00,12/10/83 5:00,0,
NC36,NC0332OW,12/10/83 5:00,12/11/83 5:00,0,
NC36,NC0332OW,12/11/83 5:00,12/12/83 5:00,0,
NC36,NC0332OW,12/12/83 5:00,12/13/83 5:00,1.64,r
NC36,NC0332OW,12/13/83 5:00,12/13/83 14:00,0,
NC36,NC0552OW,12/13/83 14:00,12/14/83 5:00,0,
NC36,NC0552OW,12/14/83 5:00,12/15/83 5:00,0,
NC36,NC0552OW,12/15/83 5:00,12/16/83 5:00,0.06,r
NC36,NC0552OW,12/16/83 5:00,12/17/83 5:00,0,
NC36,NC0552OW,12/17/83 5:00,12/18/83 5:00,0,
NC36,NC0552OW,12/18/83 5:00,12/19/83 5:00,0.3,r
NC36,NC0552OW,12/19/83 5:00,12/20/83 5:00,0,
NC36,NC0552OW,12/20/83 5:00,12/20/83 14:00,0,
NC36,NC0804OW,12/20/83 14:00,12/21/83 5:00,0,
NC36,NC0804OW,12/21/83 5:00,12/22/83 5:00,0.2,r
NC36,NC0804OW,12/22/83 5:00,12/23/83 5:00,0.48,r
NC36,NC0804OW,12/23/83 5:00,12/24/83 5:00,0,
NC36,NC0804OW,12/24/83 5:00,12/25/83 5:00,0,
NC36,NC0804OW,12/25/83 5:00,12/26/83 5:00,0,
NC36,NC0804OW,12/26/83 5:00,12/27/83 5:00,0,
NC36,NC0804OW,12/27/83 5:00,12/27/83 14:00,0,
NC36,NC0764OW,12/27/83 14:00,12/28/83 5:00,0,
NC36,NC0764OW,12/28/83 5:00,12/29/83 5:00,0.7,r
NC36,NC0764OW,12/29/83 5:00,12/30/83 5:00,0.2,r
NC36,NC0764OW,12/30/83 5:00,12/31/83 5:00,0,
NC36,NC0764OW,12/31/83 5:00,1/1/84 5:00,0,
NC36,NC0764OW,1/1/84 5:00,1/2/84 5:00,0,
NC36,NC0764OW,1/2/84 5:00,1/3/84 5:00,0,
NC36,NC0764OW,1/3/84 5:00,1/3/84 14:00,0,
NC36,NC0941OW,1/3/84 14:00,1/4/84 5:00,0,
NC36,NC0941OW,1/4/84 5:00,1/5/84 5:00,0,
NC36,NC0941OW,1/5/84 5:00,1/6/84 5:00,0.14,r
NC36,NC0941OW,1/6/84 5:00,1/7/84 5:00,0,
NC36,NC0941OW,1/7/84 5:00,1/8/84 5:00,0,
NC36,NC0941OW,1/8/84 5:00,1/9/84 5:00,0,
NC36,NC0941OW,1/9/84 5:00,1/10/84 5:00,0,
NC36,NC0941OW,1/10/84 5:00,1/10/84 14:00,0,
NC36,NC1114OW,1/10/84 14:00,1/11/84 5:00,2.12,r
NC36,NC1114OW,1/11/84 5:00,1/12/84 5:00,0.03,r
NC36,NC1114OW,1/12/84 5:00,1/13/84 5:00,0,
NC36,NC1114OW,1/13/84 5:00,1/14/84 5:00,0.07,r
NC36,NC1114OW,1/14/84 5:00,1/15/84 5:00,0.02,u
NC36,NC1114OW,1/15/84 5:00,1/16/84 5:00,0,
NC36,NC1114OW,1/16/84 5:00,1/17/84 5:00,0,
NC36,NC1114OW,1/17/84 5:00,1/17/84 14:00,0,
NC36,NC1171OW,1/17/84 14:00,1/18/84 5:00,0.03,r
NC36,NC1171OW,1/18/84 5:00,1/19/84 5:00,1.05,r
NC36,NC1171OW,1/19/84 5:00,1/20/84 5:00,0.1,r
NC36,NC1171OW,1/20/84 5:00,1/21/84 5:00,0,
NC36,NC1171OW,1/21/84 5:00,1/22/84 5:00,0,
NC36,NC1171OW,1/22/84 5:00,1/23/84 5:00,0,
NC36,NC1171OW,1/23/84 5:00,1/24/84 5:00,0,
NC36,NC1171OW,1/24/84 5:00,1/24/84 14:00,0,
NC36,NC1416OW,1/24/84 14:00,1/25/84 5:00,0.07,r
NC36,NC1416OW,1/25/84 5:00,1/26/84 5:00,0.03,r
NC36,NC1416OW,1/26/84 5:00,1/27/84 5:00,0,
NC36,NC1416OW,1/27/84 5:00,1/28/84 5:00,0.07,r
NC36,NC1416OW,1/28/84 5:00,1/29/84 5:00,0,
NC36,NC1416OW,1/29/84 5:00,1/30/84 5:00,0,
NC36,NC1416OW,1/30/84 5:00,1/31/84 5:00,0.09,r
NC36,NC1416OW,1/31/84 5:00,1/31/84 14:00,0,
NC36,NC1546OW,1/31/84 14:00,2/1/84 5:00,0,
NC36,NC1546OW,2/1/84 5:00,2/2/84 5:00,0,
NC36,NC1546OW,2/2/84 5:00,2/3/84 5:00,0,
NC36,NC1546OW,2/3/84 5:00,2/4/84 5:00,0.03,r
NC36,NC1546OW,2/4/84 5:00,2/5/84 5:00,0.18,r
NC36,NC1546OW,2/5/84 5:00,2/6/84 5:00,0,
NC36,NC1546OW,2/6/84 5:00,2/7/84 5:00,0.06,s
NC36,NC1546OW,2/7/84 5:00,2/7/84 14:00,0,
NC36,NC1749OW,2/7/84 14:00,2/8/84 5:00,0,
NC36,NC1749OW,2/8/84 5:00,2/9/84 5:00,0,
NC36,NC1749OW,2/9/84 5:00,2/10/84 5:00,0,
NC36,NC1749OW,2/10/84 5:00,2/11/84 5:00,0,
