NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: ND11 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 11:15:43 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
ND11,NC0242OW,11/29/83 15:10,11/30/83 6:00,0,
ND11,NC0242OW,11/30/83 6:00,12/1/83 6:00,0,
ND11,NC0242OW,12/1/83 6:00,12/2/83 6:00,0,
ND11,NC0242OW,12/2/83 6:00,12/3/83 6:00,0,
ND11,NC0242OW,12/3/83 6:00,12/4/83 6:00,0,
ND11,NC0242OW,12/4/83 6:00,12/5/83 6:00,0,
ND11,NC0242OW,12/5/83 6:00,12/6/83 6:00,0,
ND11,NC0242OW,12/6/83 6:00,12/6/83 15:00,0,
ND11,NC0392OW,12/6/83 15:00,12/7/83 6:00,0,
ND11,NC0392OW,12/7/83 6:00,12/8/83 6:00,0,
ND11,NC0392OW,12/8/83 6:00,12/9/83 6:00,0,
ND11,NC0392OW,12/9/83 6:00,12/10/83 6:00,0,
ND11,NC0392OW,12/10/83 6:00,12/11/83 6:00,0,
ND11,NC0392OW,12/11/83 6:00,12/12/83 6:00,0,
ND11,NC0392OW,12/12/83 6:00,12/13/83 6:00,0.27,s
ND11,NC0392OW,12/13/83 6:00,12/13/83 15:00,0,
ND11,NC0531OW,12/13/83 15:00,12/14/83 6:00,0,
ND11,NC0531OW,12/14/83 6:00,12/15/83 6:00,0,
ND11,NC0531OW,12/15/83 6:00,12/16/83 6:00,0,
ND11,NC0531OW,12/16/83 6:00,12/17/83 6:00,0,
ND11,NC0531OW,12/17/83 6:00,12/18/83 6:00,0,
ND11,NC0531OW,12/18/83 6:00,12/19/83 6:00,0,
ND11,NC0531OW,12/19/83 6:00,12/20/83 6:00,0,
ND11,NC0531OW,12/20/83 6:00,12/20/83 15:00,0,
ND11,NC0632OW,12/20/83 15:00,12/21/83 6:00,0,
ND11,NC0632OW,12/21/83 6:00,12/22/83 6:00,0,
ND11,NC0632OW,12/22/83 6:00,12/23/83 6:00,0,
ND11,NC0632OW,12/23/83 6:00,12/24/83 6:00,0,
ND11,NC0632OW,12/24/83 6:00,12/25/83 6:00,0,
ND11,NC0632OW,12/25/83 6:00,12/26/83 6:00,0,
ND11,NC0632OW,12/26/83 6:00,12/27/83 6:00,0,
ND11,NC0632OW,12/27/83 6:00,12/27/83 15:00,0.03,s
ND11,NC0702OW,12/27/83 15:00,12/28/83 6:00,0,
ND11,NC0702OW,12/28/83 6:00,12/29/83 6:00,0,
ND11,NC0702OW,12/29/83 6:00,12/30/83 6:00,0,
ND11,NC0702OW,12/30/83 6:00,12/31/83 6:00,0,
ND11,NC0702OW,12/31/83 6:00,1/1/84 6:00,0,
ND11,NC0702OW,1/1/84 6:00,1/2/84 6:00,0,
ND11,NC0702OW,1/2/84 6:00,1/3/84 6:00,0,
ND11,NC0702OW,1/3/84 6:00,1/3/84 15:00,0,
ND11,NC0975OW,1/3/84 15:00,1/4/84 6:00,0,
ND11,NC0975OW,1/4/84 6:00,1/5/84 6:00,0,
ND11,NC0975OW,1/5/84 6:00,1/6/84 6:00,0,
ND11,NC0975OW,1/6/84 6:00,1/7/84 6:00,0,
ND11,NC0975OW,1/7/84 6:00,1/8/84 6:00,0,
ND11,NC0975OW,1/8/84 6:00,1/9/84 6:00,0.07,
ND11,NC0975OW,1/9/84 6:00,1/10/84 6:00,0,
ND11,NC0975OW,1/10/84 6:00,1/10/84 15:00,0,
ND11,NC1118OW,1/10/84 15:00,1/11/84 6:00,0.02,
ND11,NC1118OW,1/11/84 6:00,1/12/84 6:00,0.05,
ND11,NC1118OW,1/12/84 6:00,1/13/84 6:00,0,
ND11,NC1118OW,1/13/84 6:00,1/14/84 6:00,0,
ND11,NC1118OW,1/14/84 6:00,1/15/84 6:00,0,
ND11,NC1118OW,1/15/84 6:00,1/16/84 6:00,0,
ND11,NC1118OW,1/16/84 6:00,1/17/84 6:00,-7,
ND11,NC1118OW,1/17/84 6:00,1/17/84 15:00,0,
ND11,NC1228OW,1/17/84 15:00,1/18/84 6:00,0,
ND11,NC1228OW,1/18/84 6:00,1/19/84 6:00,0,
ND11,NC1228OW,1/19/84 6:00,1/20/84 6:00,0,
ND11,NC1228OW,1/20/84 6:00,1/21/84 6:00,0,
ND11,NC1228OW,1/21/84 6:00,1/22/84 6:00,0,
ND11,NC1228OW,1/22/84 6:00,1/23/84 6:00,0,
ND11,NC1228OW,1/23/84 6:00,1/24/84 6:00,0,
ND11,NC1228OW,1/24/84 6:00,1/24/84 15:00,0.01,s
ND11,NC1319OW,1/24/84 15:00,1/25/84 6:00,0,
ND11,NC1319OW,1/25/84 6:00,1/26/84 6:00,0.05,s
ND11,NC1319OW,1/26/84 6:00,1/27/84 6:00,0.03,s
ND11,NC1319OW,1/27/84 6:00,1/28/84 6:00,-7,s
ND11,NC1319OW,1/28/84 6:00,1/29/84 6:00,-7,s
ND11,NC1319OW,1/29/84 6:00,1/30/84 6:00,0.4,m
ND11,NC1319OW,1/30/84 6:00,1/31/84 6:00,0,
ND11,NC1319OW,1/31/84 6:00,1/31/84 15:00,0,
ND11,NC1602OW,1/31/84 15:00,2/1/84 6:00,0,
ND11,NC1602OW,2/1/84 6:00,2/2/84 6:00,0,
ND11,NC1602OW,2/2/84 6:00,2/3/84 6:00,-7,s
ND11,NC1602OW,2/3/84 6:00,2/4/84 6:00,0.01,s
ND11,NC1602OW,2/4/84 6:00,2/5/84 6:00,0.01,s
ND11,NC1602OW,2/5/84 6:00,2/6/84 6:00,-7,s
ND11,NC1602OW,2/6/84 6:00,2/7/84 6:00,0,
ND11,NC1602OW,2/7/84 6:00,2/7/84 15:00,0,
ND11,NC1685OW,2/7/84 15:00,2/8/84 6:00,0,
ND11,NC1685OW,2/8/84 6:00,2/9/84 6:00,0,
ND11,NC1685OW,2/9/84 6:00,2/10/84 6:00,0,
ND11,NC1685OW,2/10/84 6:00,2/11/84 6:00,0,
ND11,NC1685OW,2/11/84 6:00,2/12/84 6:00,0.01,s
ND11,NC1685OW,2/12/84 6:00,2/13/84 6:00,0.01,s
ND11,NC1685OW,2/13/84 6:00,2/14/84 6:00,0,
ND11,NC1685OW,2/14/84 6:00,2/14/84 16:00,0,
ND11,NC1831OW,2/14/84 16:00,2/15/84 6:00,0,
ND11,NC1831OW,2/15/84 6:00,2/16/84 6:00,0,
ND11,NC1831OW,2/16/84 6:00,2/17/84 6:00,0,
ND11,NC1831OW,2/17/84 6:00,2/18/84 6:00,0,
ND11,NC1831OW,2/18/84 6:00,2/19/84 6:00,0,
ND11,NC1831OW,2/19/84 6:00,2/20/84 6:00,0,
ND11,NC1831OW,2/20/84 6:00,2/21/84 6:00,0,
ND11,NC1831OW,2/21/84 6:00,2/21/84 15:00,0,
ND11,NC1900OW,2/21/84 15:00,2/22/84 6:00,0,
ND11,NC1900OW,2/22/84 6:00,2/23/84 6:00,0,
ND11,NC1900OW,2/23/84 6:00,2/24/84 6:00,-7,s
ND11,NC1900OW,2/24/84 6:00,2/25/84 6:00,0.02,s
ND11,NC1900OW,2/25/84 6:00,2/26/84 6:00,0,
ND11,NC1900OW,2/26/84 6:00,2/27/84 6:00,0,
ND11,NC1900OW,2/27/84 6:00,2/28/84 6:00,-7,s
ND11,NC1900OW,2/28/84 6:00,2/28/84 15:00,0,
ND11,NC2104OW,2/28/84 15:00,2/29/84 6:00,0,
ND11,NC2104OW,2/29/84 6:00,3/1/84 6:00,0,
ND11,NC2104OW,3/1/84 6:00,3/2/84 6:00,0.09,s
ND11,NC2104OW,3/2/84 6:00,3/3/84 6:00,0,
ND11,NC2104OW,3/3/84 6:00,3/4/84 6:00,0.07,s
ND11,NC2104OW,3/4/84 6:00,3/5/84 6:00,0,
ND11,NC2104OW,3/5/84 6:00,3/6/84 6:00,-7,
ND11,NC2104OW,3/6/84 6:00,3/6/84 15:00,0,
ND11,NC2244OW,3/6/84 15:00,3/7/84 6:00,0.06,s
ND11,NC2244OW,3/7/84 6:00,3/8/84 6:00,0.01,s
ND11,NC2244OW,3/8/84 6:00,3/9/84 6:00,0,
ND11,NC2244OW,3/9/84 6:00,3/10/84 6:00,0,
ND11,NC2244OW,3/10/84 6:00,3/11/84 6:00,0,
ND11,NC2244OW,3/11/84 6:00,3/12/84 6:00,-7,s
ND11,NC2244OW,3/12/84 6:00,3/13/84 6:00,0.02,s
ND11,NC2244OW,3/13/84 6:00,3/13/84 15:00,0,
ND11,NC2355OW,3/13/84 15:00,3/14/84 6:00,0,
ND11,NC2355OW,3/14/84 6:00,3/15/84 6:00,0,
ND11,NC2355OW,3/15/84 6:00,3/16/84 6:00,0,
ND11,NC2355OW,3/16/84 6:00,3/17/84 6:00,-7,s
ND11,NC2355OW,3/17/84 6:00,3/18/84 6:00,-7,s
ND11,NC2355OW,3/18/84 6:00,3/19/84 6:00,0,
ND11,NC2355OW,3/19/84 6:00,3/20/84 6:00,0,
ND11,NC2355OW,3/20/84 6:00,3/20/84 15:00,0,
ND11,NC2541OW,3/20/84 15:00,3/21/84 6:00,0,
ND11,NC2541OW,3/21/84 6:00,3/22/84 6:00,0,
ND11,NC2541OW,3/22/84 6:00,3/23/84 6:00,0,
ND11,NC2541OW,3/23/84 6:00,3/24/84 6:00,0,
ND11,NC2541OW,3/24/84 6:00,3/25/84 6:00,0,
ND11,NC2541OW,3/25/84 6:00,3/26/84 6:00,0,
ND11,NC2541OW,3/26/84 6:00,3/27/84 6:00,0.03,s
ND11,NC2541OW,3/27/84 6:00,3/27/84 15:00,0.3,s
ND11,NC2743OW,3/27/84 15:00,3/28/84 6:00,0.32,m
ND11,NC2743OW,3/28/84 6:00,3/29/84 6:00,0,
ND11,NC2743OW,3/29/84 6:00,3/30/84 6:00,0,
ND11,NC2743OW,3/30/84 6:00,3/31/84 6:00,0,
ND11,NC2743OW,3/31/84 6:00,4/1/84 6:00,0,
ND11,NC2743OW,4/1/84 6:00,4/2/84 6:00,0,
ND11,NC2743OW,4/2/84 6:00,4/3/84 6:00,0,
ND11,NC2743OW,4/3/84 6:00,4/3/84 15:00,0,
ND11,NC2837OW,4/3/84 15:00,4/4/84 6:00,0,
ND11,NC2837OW,4/4/84 6:00,4/5/84 6:00,0,
ND11,NC2837OW,4/5/84 6:00,4/6/84 6:00,0,
ND11,NC2837OW,4/6/84 6:00,4/7/84 6:00,0,
ND11,NC2837OW,4/7/84 6:00,4/8/84 6:00,0,
ND11,NC2837OW,4/8/84 6:00,4/9/84 6:00,0,
ND11,NC2837OW,4/9/84 6:00,4/10/84 6:00,-7,
ND11,NC2837OW,4/10/84 6:00,4/10/84 15:00,0,
ND11,NC2949OW,4/10/84 15:00,4/11/84 6:00,0,
ND11,NC2949OW,4/11/84 6:00,4/12/84 6:00,0.65,r
ND11,NC2949OW,4/12/84 6:00,4/13/84 6:00,0.61,r
ND11,NC2949OW,4/13/84 6:00,4/14/84 6:00,0,
ND11,NC2949OW,4/14/84 6:00,4/15/84 6:00,0,
ND11,NC2949OW,4/15/84 6:00,4/16/84 6:00,0,
ND11,NC2949OW,4/16/84 6:00,4/17/84 6:00,0,
ND11,NC2949OW,4/17/84 6:00,4/17/84 15:00,0,
ND11,NC3122OW,4/17/84 15:00,4/18/84 6:00,0,
ND11,NC3122OW,4/18/84 6:00,4/19/84 6:00,0,
ND11,NC3122OW,4/19/84 6:00,4/20/84 6:00,0,
ND11,NC3122OW,4/20/84 6:00,4/21/84 6:00,0,
ND11,NC3122OW,4/21/84 6:00,4/22/84 6:00,0,
ND11,NC3122OW,4/22/84 6:00,4/23/84 6:00,0,
ND11,NC3122OW,4/23/84 6:00,4/24/84 6:00,0,
ND11,NC3122OW,4/24/84 6:00,4/24/84 15:00,0.29,r
ND11,NC3315OW,4/24/84 15:00,4/25/84 6:00,0,
ND11,NC3315OW,4/25/84 6:00,4/26/84 6:00,0.04,r
ND11,NC3315OW,4/26/84 6:00,4/27/84 6:00,0.9,r
ND11,NC3315OW,4/27/84 6:00,4/28/84 6:00,0.18,s
ND11,NC3315OW,4/28/84 6:00,4/29/84 6:00,-7,
