NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: NH02 Date Range: 1/1/1980 to 2/1/2010 Report Date: 5/27/2014 11:17:24 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
NH02,NA1845OW,1/1/80 5:00,1/2/80 5:00,0,
NH02,NA1845OW,1/2/80 5:00,1/2/80 15:00,0,
NH02,NA1883OW,1/2/80 15:00,1/3/80 5:00,0,
NH02,NA1883OW,1/3/80 5:00,1/4/80 5:00,0,
NH02,NA1883OW,1/4/80 5:00,1/5/80 5:00,0,
NH02,NA1883OW,1/5/80 5:00,1/6/80 5:00,0,
NH02,NA1883OW,1/6/80 5:00,1/7/80 5:00,0,
NH02,NA1883OW,1/7/80 5:00,1/8/80 5:00,0.25,s
NH02,NA1883OW,1/8/80 5:00,1/8/80 14:45,0,
NH02,NA1920OW,1/8/80 14:45,1/9/80 5:00,0,
NH02,NA1920OW,1/9/80 5:00,1/10/80 5:00,0,
NH02,NA1920OW,1/10/80 5:00,1/11/80 5:00,0,
NH02,NA1920OW,1/11/80 5:00,1/12/80 5:00,0.49,r
NH02,NA1920OW,1/12/80 5:00,1/13/80 5:00,0.43,r
NH02,NA1920OW,1/13/80 5:00,1/14/80 5:00,0,
NH02,NA1920OW,1/14/80 5:00,1/15/80 5:00,0.1,r
NH02,NA1920OW,1/15/80 5:00,1/15/80 14:00,0.02,r
NH02,NA1951OW,1/15/80 14:00,1/16/80 5:00,0,
NH02,NA1951OW,1/16/80 5:00,1/17/80 5:00,0,
NH02,NA1951OW,1/17/80 5:00,1/18/80 5:00,0,
NH02,NA1951OW,1/18/80 5:00,1/19/80 5:00,0,
NH02,NA1951OW,1/19/80 5:00,1/20/80 5:00,0,
NH02,NA1951OW,1/20/80 5:00,1/21/80 5:00,0.01,s
NH02,NA1951OW,1/21/80 5:00,1/22/80 5:00,0,
NH02,NA1951OW,1/22/80 5:00,1/22/80 14:10,0,
NH02,NA2028OW,1/22/80 14:10,1/23/80 5:00,0.28,s
NH02,NA2028OW,1/23/80 5:00,1/24/80 5:00,0.02,s
NH02,NA2028OW,1/24/80 5:00,1/25/80 5:00,0.04,s
NH02,NA2028OW,1/25/80 5:00,1/26/80 5:00,0,
NH02,NA2028OW,1/26/80 5:00,1/27/80 5:00,0,
NH02,NA2028OW,1/27/80 5:00,1/28/80 5:00,0,
NH02,NA2028OW,1/28/80 5:00,1/29/80 5:00,0,
NH02,NA2028OW,1/29/80 5:00,1/29/80 14:00,0,
NH02,NA2019OW,1/29/80 14:00,1/30/80 5:00,0,
NH02,NA2019OW,1/30/80 5:00,1/31/80 5:00,0,
NH02,NA2019OW,1/31/80 5:00,2/1/80 5:00,0,
NH02,NA2019OW,2/1/80 5:00,2/2/80 5:00,0,
NH02,NA2019OW,2/2/80 5:00,2/3/80 5:00,0,
NH02,NA2019OW,2/3/80 5:00,2/4/80 5:00,0,
NH02,NA2019OW,2/4/80 5:00,2/5/80 5:00,0,
NH02,NA2019OW,2/5/80 5:00,2/5/80 14:00,0,
NH02,NA2059OW,2/5/80 14:00,2/6/80 5:00,0,
NH02,NA2059OW,2/6/80 5:00,2/7/80 5:00,0,
NH02,NA2059OW,2/7/80 5:00,2/8/80 5:00,0,
NH02,NA2059OW,2/8/80 5:00,2/9/80 5:00,0,
NH02,NA2059OW,2/9/80 5:00,2/10/80 5:00,0,
NH02,NA2059OW,2/10/80 5:00,2/11/80 5:00,0,
NH02,NA2059OW,2/11/80 5:00,2/12/80 5:00,0,
NH02,NA2059OW,2/12/80 5:00,2/12/80 14:00,0,
NH02,NA2122OW,2/12/80 14:00,2/13/80 5:00,0.01,s
NH02,NA2122OW,2/13/80 5:00,2/14/80 5:00,0,
NH02,NA2122OW,2/14/80 5:00,2/15/80 5:00,0,
NH02,NA2122OW,2/15/80 5:00,2/16/80 5:00,0,
NH02,NA2122OW,2/16/80 5:00,2/17/80 5:00,0.47,s
NH02,NA2122OW,2/17/80 5:00,2/18/80 5:00,0,
NH02,NA2122OW,2/18/80 5:00,2/19/80 5:00,0,
NH02,NA2122OW,2/19/80 5:00,2/19/80 13:30,0,
NH02,NA2149OW,2/19/80 13:30,2/20/80 5:00,0,
NH02,NA2149OW,2/20/80 5:00,2/21/80 5:00,0,
NH02,NA2149OW,2/21/80 5:00,2/22/80 5:00,0,
NH02,NA2149OW,2/22/80 5:00,2/23/80 5:00,0.41,s
NH02,NA2149OW,2/23/80 5:00,2/24/80 5:00,0.11,s
NH02,NA2149OW,2/24/80 5:00,2/25/80 5:00,0.02,s
NH02,NA2149OW,2/25/80 5:00,2/26/80 5:00,0,
NH02,NA2149OW,2/26/80 5:00,2/26/80 14:00,0,
NH02,NA2211OW,2/26/80 14:00,2/27/80 5:00,0,
NH02,NA2211OW,2/27/80 5:00,2/28/80 5:00,0.09,s
NH02,NA2211OW,2/28/80 5:00,2/29/80 5:00,0.06,s
NH02,NA2211OW,2/29/80 5:00,3/1/80 5:00,0,
NH02,NA2211OW,3/1/80 5:00,3/2/80 5:00,0,
NH02,NA2211OW,3/2/80 5:00,3/3/80 5:00,0,
NH02,NA2211OW,3/3/80 5:00,3/4/80 5:00,0,
NH02,NA2211OW,3/4/80 5:00,3/4/80 14:00,0,
NH02,NA2238OW,3/4/80 14:00,3/5/80 5:00,0,
NH02,NA2238OW,3/5/80 5:00,3/6/80 5:00,0.26,s
NH02,NA2238OW,3/6/80 5:00,3/7/80 5:00,0.05,s
NH02,NA2238OW,3/7/80 5:00,3/8/80 5:00,0.05,s
NH02,NA2238OW,3/8/80 5:00,3/9/80 5:00,0.96,s
NH02,NA2238OW,3/9/80 5:00,3/10/80 5:00,0.04,r
NH02,NA2238OW,3/10/80 5:00,3/11/80 5:00,0,
NH02,NA2238OW,3/11/80 5:00,3/11/80 18:20,1.07,s
NH02,NA2274OW,3/11/80 18:20,3/12/80 5:00,0.01,s
NH02,NA2274OW,3/12/80 5:00,3/13/80 5:00,0.01,s
NH02,NA2274OW,3/13/80 5:00,3/14/80 5:00,0,
NH02,NA2274OW,3/14/80 5:00,3/15/80 5:00,0.43,s
NH02,NA2274OW,3/15/80 5:00,3/16/80 5:00,0,
NH02,NA2274OW,3/16/80 5:00,3/17/80 5:00,0,
NH02,NA2274OW,3/17/80 5:00,3/18/80 5:00,0.65,r
NH02,NA2274OW,3/18/80 5:00,3/18/80 21:20,1.3,r
NH02,NA2307OW,3/18/80 21:20,3/19/80 5:00,0,
NH02,NA2307OW,3/19/80 5:00,3/20/80 5:00,0,
NH02,NA2307OW,3/20/80 5:00,3/21/80 5:00,0,
NH02,NA2307OW,3/21/80 5:00,3/22/80 5:00,0.01,r
NH02,NA2307OW,3/22/80 5:00,3/23/80 5:00,0,
NH02,NA2307OW,3/23/80 5:00,3/24/80 5:00,0,
NH02,NA2307OW,3/24/80 5:00,3/25/80 5:00,0,
NH02,NA2307OW,3/25/80 5:00,3/25/80 17:35,0.04,s
NH02,NA2380OW,3/25/80 17:35,3/26/80 5:00,0.01,s
NH02,NA2380OW,3/26/80 5:00,3/27/80 5:00,0.09,s
NH02,NA2380OW,3/27/80 5:00,3/28/80 5:00,0,
NH02,NA2380OW,3/28/80 5:00,3/29/80 5:00,0,
NH02,NA2380OW,3/29/80 5:00,3/30/80 5:00,0.17,r
NH02,NA2380OW,3/30/80 5:00,3/31/80 5:00,0.07,r
NH02,NA2380OW,3/31/80 5:00,4/1/80 5:00,0,
NH02,NA2380OW,4/1/80 5:00,4/1/80 14:00,0,
NH02,NA2409OW,4/1/80 14:00,4/2/80 5:00,0,
NH02,NA2409OW,4/2/80 5:00,4/3/80 5:00,0.02,r
NH02,NA2409OW,4/3/80 5:00,4/4/80 5:00,0,
NH02,NA2409OW,4/4/80 5:00,4/5/80 5:00,0.5,s
NH02,NA2409OW,4/5/80 5:00,4/6/80 5:00,0.03,r
NH02,NA2409OW,4/6/80 5:00,4/7/80 5:00,0,
NH02,NA2409OW,4/7/80 5:00,4/8/80 5:00,0,
NH02,NA2409OW,4/8/80 5:00,4/8/80 14:00,0,
NH02,NA2491OW,4/8/80 14:00,4/9/80 5:00,0,
NH02,NA2491OW,4/9/80 5:00,4/10/80 5:00,0.91,r
NH02,NA2491OW,4/10/80 5:00,4/11/80 5:00,1.36,r
NH02,NA2491OW,4/11/80 5:00,4/12/80 5:00,0.03,r
NH02,NA2491OW,4/12/80 5:00,4/13/80 5:00,0.1,r
NH02,NA2491OW,4/13/80 5:00,4/14/80 5:00,0,
NH02,NA2491OW,4/14/80 5:00,4/15/80 5:00,0.2,r
NH02,NA2491OW,4/15/80 5:00,4/15/80 17:50,0.36,r
NH02,NA2496OW,4/15/80 17:50,4/16/80 5:00,0,
NH02,NA2496OW,4/16/80 5:00,4/17/80 5:00,0.05,r
NH02,NA2496OW,4/17/80 5:00,4/18/80 5:00,0,
NH02,NA2496OW,4/18/80 5:00,4/19/80 5:00,0,
NH02,NA2496OW,4/19/80 5:00,4/20/80 5:00,0,
NH02,NA2496OW,4/20/80 5:00,4/21/80 5:00,0.1,r
NH02,NA2496OW,4/21/80 5:00,4/22/80 5:00,0,
NH02,NA2496OW,4/22/80 5:00,4/22/80 14:00,0,
NH02,NA2552OW,4/22/80 14:00,4/23/80 5:00,0,
NH02,NA2552OW,4/23/80 5:00,4/24/80 5:00,0,
NH02,NA2552OW,4/24/80 5:00,4/25/80 5:00,0,
NH02,NA2552OW,4/25/80 5:00,4/26/80 5:00,0.43,r
NH02,NA2552OW,4/26/80 5:00,4/27/80 5:00,0.19,r
NH02,NA2552OW,4/27/80 5:00,4/28/80 5:00,0.02,r
NH02,NA2552OW,4/28/80 5:00,4/29/80 5:00,0.01,r
NH02,NA2552OW,4/29/80 5:00,4/29/80 12:15,0.02,r
NH02,NA2596OW,4/29/80 12:15,4/30/80 5:00,0.39,r
NH02,NA2596OW,4/30/80 5:00,5/1/80 5:00,0.02,r
