NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: OH71 Date Range: 1/1/1980 to 2/1/2010 Report Date: 5/27/2014 11:26:01 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
OH71,NA1817OW,1/1/80 5:00,1/2/80 5:00,0,
OH71,NA1817OW,1/2/80 5:00,1/2/80 17:30,0,
OH71,NA1848OW,1/2/80 17:30,1/3/80 5:00,-9,
OH71,NA1848OW,1/3/80 5:00,1/4/80 5:00,-9,
OH71,NA1848OW,1/4/80 5:00,1/5/80 5:00,-9,
OH71,NA1848OW,1/5/80 5:00,1/6/80 5:00,0,
OH71,NA1848OW,1/6/80 5:00,1/7/80 5:00,-9,
OH71,NA1848OW,1/7/80 5:00,1/8/80 5:00,0,
OH71,NA1848OW,1/8/80 5:00,1/8/80 13:30,0,
OH71,NA1904OW,1/8/80 13:30,1/9/80 5:00,0,
OH71,NA1904OW,1/9/80 5:00,1/10/80 5:00,0,
OH71,NA1904OW,1/10/80 5:00,1/11/80 5:00,0,
OH71,NA1904OW,1/11/80 5:00,1/12/80 5:00,0.9,
OH71,NA1904OW,1/12/80 5:00,1/13/80 5:00,0,
OH71,NA1904OW,1/13/80 5:00,1/14/80 5:00,0,
OH71,NA1904OW,1/14/80 5:00,1/15/80 5:00,-7,
OH71,NA1904OW,1/15/80 5:00,1/15/80 13:00,0,
OH71,NA1928OW,1/15/80 13:00,1/16/80 5:00,0,
OH71,NA1928OW,1/16/80 5:00,1/17/80 5:00,0,
OH71,NA1928OW,1/17/80 5:00,1/18/80 5:00,0.05,
OH71,NA1928OW,1/18/80 5:00,1/19/80 5:00,0,
OH71,NA1928OW,1/19/80 5:00,1/20/80 5:00,0,
OH71,NA1928OW,1/20/80 5:00,1/21/80 5:00,0,
OH71,NA1928OW,1/21/80 5:00,1/22/80 5:00,0,
OH71,NA1928OW,1/22/80 5:00,1/22/80 13:00,0,
OH71,NA1984OW,1/22/80 13:00,1/23/80 5:00,0,
OH71,NA1984OW,1/23/80 5:00,1/24/80 5:00,0.05,m
OH71,NA1984OW,1/24/80 5:00,1/25/80 5:00,-9,s
OH71,NA1984OW,1/25/80 5:00,1/26/80 5:00,-9,
OH71,NA1984OW,1/26/80 5:00,1/27/80 5:00,0,
OH71,NA1984OW,1/27/80 5:00,1/28/80 5:00,0,
OH71,NA1984OW,1/28/80 5:00,1/29/80 5:00,0,
OH71,NA1984OW,1/29/80 5:00,1/29/80 13:30,0,
OH71,NA1997OW,1/29/80 13:30,1/30/80 5:00,0,
OH71,NA1997OW,1/30/80 5:00,1/31/80 5:00,0,
OH71,NA1997OW,1/31/80 5:00,2/1/80 5:00,0.04,
OH71,NA1997OW,2/1/80 5:00,2/2/80 5:00,0,
OH71,NA1997OW,2/2/80 5:00,2/3/80 5:00,0,
OH71,NA1997OW,2/3/80 5:00,2/4/80 5:00,0,
OH71,NA1997OW,2/4/80 5:00,2/5/80 5:00,-7,
OH71,NA1997OW,2/5/80 5:00,2/5/80 13:30,0,
OH71,NA2038OW,2/5/80 13:30,2/6/80 5:00,0,
OH71,NA2038OW,2/6/80 5:00,2/7/80 5:00,-7,s
OH71,NA2038OW,2/7/80 5:00,2/8/80 5:00,0,
OH71,NA2038OW,2/8/80 5:00,2/9/80 5:00,0,
OH71,NA2038OW,2/9/80 5:00,2/10/80 5:00,0,
OH71,NA2038OW,2/10/80 5:00,2/11/80 5:00,0,
OH71,NA2038OW,2/11/80 5:00,2/12/80 5:00,-7,s
OH71,NA2038OW,2/12/80 5:00,2/12/80 13:30,0,
OH71,NA2091OW,2/12/80 13:30,2/13/80 5:00,0,
OH71,NA2091OW,2/13/80 5:00,2/14/80 5:00,0,
OH71,NA2091OW,2/14/80 5:00,2/15/80 5:00,0,
OH71,NA2091OW,2/15/80 5:00,2/16/80 5:00,0.25,m
OH71,NA2091OW,2/16/80 5:00,2/17/80 5:00,0.05,m
OH71,NA2091OW,2/17/80 5:00,2/18/80 5:00,0,
OH71,NA2091OW,2/18/80 5:00,2/19/80 5:00,0,
OH71,NA2091OW,2/19/80 5:00,2/19/80 13:30,0,
OH71,NA2121OW,2/19/80 13:30,2/20/80 5:00,0,
OH71,NA2121OW,2/20/80 5:00,2/21/80 5:00,-9,
OH71,NA2121OW,2/21/80 5:00,2/22/80 5:00,0.4,r
OH71,NA2121OW,2/22/80 5:00,2/23/80 5:00,0.2,r
OH71,NA2121OW,2/23/80 5:00,2/24/80 5:00,0,
OH71,NA2121OW,2/24/80 5:00,2/25/80 5:00,0,
OH71,NA2121OW,2/25/80 5:00,2/26/80 5:00,-7,
OH71,NA2121OW,2/26/80 5:00,2/26/80 13:30,0,
OH71,NA2159OW,2/26/80 13:30,2/27/80 5:00,0,
OH71,NA2159OW,2/27/80 5:00,2/28/80 5:00,-7,
OH71,NA2159OW,2/28/80 5:00,2/29/80 5:00,-7,
OH71,NA2159OW,2/29/80 5:00,3/1/80 5:00,0,
OH71,NA2159OW,3/1/80 5:00,3/2/80 5:00,0,
OH71,NA2159OW,3/2/80 5:00,3/3/80 5:00,0,
OH71,NA2159OW,3/3/80 5:00,3/4/80 5:00,0,
OH71,NA2159OW,3/4/80 5:00,3/4/80 13:15,0,
OH71,NA2207OW,3/4/80 13:15,3/5/80 5:00,0.05,
OH71,NA2207OW,3/5/80 5:00,3/6/80 5:00,0.15,
OH71,NA2207OW,3/6/80 5:00,3/7/80 5:00,0,
OH71,NA2207OW,3/7/80 5:00,3/8/80 5:00,0.5,
OH71,NA2207OW,3/8/80 5:00,3/9/80 5:00,1,
OH71,NA2207OW,3/9/80 5:00,3/10/80 5:00,0,
OH71,NA2207OW,3/10/80 5:00,3/11/80 5:00,-9,
OH71,NA2207OW,3/11/80 5:00,3/11/80 14:00,0,
OH71,NA2247OW,3/11/80 14:00,3/12/80 5:00,0,
OH71,NA2247OW,3/12/80 5:00,3/13/80 5:00,0,
OH71,NA2247OW,3/13/80 5:00,3/14/80 5:00,0.05,m
OH71,NA2247OW,3/14/80 5:00,3/15/80 5:00,0,
OH71,NA2247OW,3/15/80 5:00,3/16/80 5:00,0,
OH71,NA2247OW,3/16/80 5:00,3/17/80 5:00,0,
OH71,NA2247OW,3/17/80 5:00,3/18/80 5:00,-9,m
OH71,NA2247OW,3/18/80 5:00,3/18/80 20:00,-9,
OH71,NA2295OW,3/18/80 20:30,3/19/80 5:00,0,
OH71,NA2295OW,3/19/80 5:00,3/20/80 5:00,0,
OH71,NA2295OW,3/20/80 5:00,3/21/80 5:00,0.2,r
OH71,NA2295OW,3/21/80 5:00,3/22/80 5:00,0.7,r
OH71,NA2295OW,3/22/80 5:00,3/23/80 5:00,0,
OH71,NA2295OW,3/23/80 5:00,3/24/80 5:00,0,
OH71,NA2295OW,3/24/80 5:00,3/25/80 5:00,0.3,r
OH71,NA2295OW,3/25/80 5:00,3/25/80 18:00,0,
OH71,NA2340OW,3/25/80 18:00,3/26/80 5:00,0,
OH71,NA2340OW,3/26/80 5:00,3/27/80 5:00,0,
OH71,NA2340OW,3/27/80 5:00,3/28/80 5:00,0,
OH71,NA2340OW,3/28/80 5:00,3/29/80 5:00,0.28,r
OH71,NA2340OW,3/29/80 5:00,3/30/80 5:00,0.15,r
OH71,NA2340OW,3/30/80 5:00,3/31/80 5:00,0.59,r
OH71,NA2340OW,3/31/80 5:00,4/1/80 5:00,0,
OH71,NA2340OW,4/1/80 5:00,4/1/80 14:40,0,
OH71,NA2378OW,4/1/80 14:40,4/2/80 5:00,0,
OH71,NA2378OW,4/2/80 5:00,4/3/80 5:00,-9,
OH71,NA2378OW,4/3/80 5:00,4/4/80 5:00,0.53,r
OH71,NA2378OW,4/4/80 5:00,4/5/80 5:00,0.05,r
OH71,NA2378OW,4/5/80 5:00,4/6/80 5:00,0,
OH71,NA2378OW,4/6/80 5:00,4/7/80 5:00,0,
OH71,NA2378OW,4/7/80 5:00,4/8/80 5:00,0,
OH71,NA2378OW,4/8/80 5:00,4/8/80 18:00,0,
OH71,NA2447OW,4/8/80 18:00,4/9/80 5:00,0.63,r
OH71,NA2447OW,4/9/80 5:00,4/10/80 5:00,0.13,r
