NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: SD99 Date Range: 1/1/1983 to 2/1/2013 Report Date: 5/27/2014 11:31:57 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
SD99,NC0267OW,11/29/83 16:00,11/30/83 6:00,0,
SD99,NC0267OW,11/30/83 6:00,12/1/83 6:00,0,
SD99,NC0267OW,12/1/83 6:00,12/2/83 6:00,0,
SD99,NC0267OW,12/2/83 6:00,12/3/83 6:00,0,
SD99,NC0267OW,12/3/83 6:00,12/4/83 6:00,0,
SD99,NC0267OW,12/4/83 6:00,12/5/83 6:00,-7,
SD99,NC0267OW,12/5/83 6:00,12/6/83 6:00,-7,
SD99,NC0267OW,12/6/83 6:00,12/6/83 15:30,0,
SD99,NC0365OW,12/6/83 15:30,12/7/83 6:00,0,
SD99,NC0365OW,12/7/83 6:00,12/8/83 6:00,0,
SD99,NC0365OW,12/8/83 6:00,12/9/83 6:00,0.01,s
SD99,NC0365OW,12/9/83 6:00,12/10/83 6:00,0,
SD99,NC0365OW,12/10/83 6:00,12/11/83 6:00,0,
SD99,NC0365OW,12/11/83 6:00,12/12/83 6:00,0,
SD99,NC0365OW,12/12/83 6:00,12/13/83 6:00,0,
SD99,NC0365OW,12/13/83 6:00,12/13/83 15:44,0,
SD99,NC0440OW,12/13/83 15:45,12/14/83 6:00,-7,s
SD99,NC0440OW,12/14/83 6:00,12/15/83 6:00,-7,s
SD99,NC0440OW,12/15/83 6:00,12/16/83 6:00,0,
SD99,NC0440OW,12/16/83 6:00,12/17/83 6:00,-7,s
SD99,NC0440OW,12/17/83 6:00,12/18/83 6:00,0,
SD99,NC0440OW,12/18/83 6:00,12/19/83 6:00,0,
SD99,NC0440OW,12/19/83 6:00,12/20/83 6:00,0,
SD99,NC0440OW,12/20/83 6:00,12/20/83 15:33,-7,s
SD99,NC0623OW,12/20/83 15:33,12/21/83 6:00,0.25,s
SD99,NC0623OW,12/21/83 6:00,12/22/83 6:00,0,
SD99,NC0623OW,12/22/83 6:00,12/23/83 6:00,0,
SD99,NC0623OW,12/23/83 6:00,12/24/83 6:00,0,
SD99,NC0623OW,12/24/83 6:00,12/25/83 6:00,0.01,s
