NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN,,,,,
,,,,,
Site ID: VT01 Date Range: 1/1/1981 to 2/1/2011 Report Date: 5/27/2014 11:33:35 AM,,,,,
SiteID,labno,StartTime,EndTime,Amount,Type
,,,,,
VT01,NA6292OW,4/28/81 13:00,4/29/81 4:00,0,
VT01,NA6292OW,4/29/81 4:00,4/30/81 4:00,0.34,r
VT01,NA6292OW,4/30/81 4:00,5/1/81 4:00,0,
VT01,NA6292OW,5/1/81 4:00,5/2/81 4:00,0,
VT01,NA6292OW,5/2/81 4:00,5/3/81 4:00,0,
VT01,NA6292OW,5/3/81 4:00,5/4/81 4:00,0,
VT01,NA6292OW,5/4/81 4:00,5/5/81 4:00,0,
VT01,NA6292OW,5/5/81 4:00,5/5/81 13:00,0,
VT01,NA6398OW,5/5/81 13:00,5/6/81 4:00,0,
VT01,NA6398OW,5/6/81 4:00,5/7/81 4:00,0.1,r
VT01,NA6398OW,5/7/81 4:00,5/8/81 4:00,0,
VT01,NA6398OW,5/8/81 4:00,5/9/81 4:00,0,
VT01,NA6398OW,5/9/81 4:00,5/10/81 4:00,0,
VT01,NA6398OW,5/10/81 4:00,5/11/81 4:00,0,
VT01,NA6398OW,5/11/81 4:00,5/12/81 4:00,0.3,r
VT01,NA6398OW,5/12/81 4:00,5/12/81 13:00,0.5,r
VT01,NA6522OW,5/12/81 13:00,5/13/81 4:00,0.65,r
VT01,NA6522OW,5/13/81 4:00,5/14/81 4:00,0.03,r
VT01,NA6522OW,5/14/81 4:00,5/15/81 4:00,0,
VT01,NA6522OW,5/15/81 4:00,5/16/81 4:00,0.05,r
VT01,NA6522OW,5/16/81 4:00,5/17/81 4:00,0.1,r
VT01,NA6522OW,5/17/81 4:00,5/18/81 4:00,0.02,r
VT01,NA6522OW,5/18/81 4:00,5/19/81 4:00,0,
VT01,NA6522OW,5/19/81 4:00,5/19/81 13:00,0,
VT01,NA6650OW,5/19/81 13:00,5/20/81 4:00,0,
VT01,NA6650OW,5/20/81 4:00,5/21/81 4:00,0,
VT01,NA6650OW,5/21/81 4:00,5/22/81 4:00,0,
VT01,NA6650OW,5/22/81 4:00,5/23/81 4:00,0,
VT01,NA6650OW,5/23/81 4:00,5/24/81 4:00,0,
VT01,NA6650OW,5/24/81 4:00,5/25/81 4:00,0,
VT01,NA6650OW,5/25/81 4:00,5/26/81 4:00,0.02,r
VT01,NA6650OW,5/26/81 4:00,5/26/81 13:00,0,
VT01,NA6656OW,5/26/81 13:00,5/27/81 4:00,0,
VT01,NA6656OW,5/27/81 4:00,5/28/81 4:00,-7,r
VT01,NA6656OW,5/28/81 4:00,5/29/81 4:00,0,
VT01,NA6656OW,5/29/81 4:00,5/30/81 4:00,0.09,r
